Titre de l’action d’adaptation,Exemple,Aléa climatique visé,Catégorie ressources,Catégorie entreprise,Prix,Prix crédit,Crédit normalisé,Temps,Score,Véhicules,Machines
Améliorer la ventilation et le rafraîchissement passif,"Ajout d’ouvrants traversants, de protections solaires extérieures et d’une ventilation nocturne automatisée. La chaleur accumulée s’évacue la nuit et le recours à la climatisation diminue.",Stress Hydrique/ Fortes pluies/ Modif T° air/ Submersion marine/ Tempêtes/ Inondation fluviale,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,6,Non,Non
Conservation de la terre végétale excédentaire,"Décapage de la terre végétale avant terrassement, stockage en merlons bas enherbés puis réutilisation dans les futures zones plantées. Le sol fertile n’est pas évacué inutilement et les plantations reprennent mieux.",Stress Hydrique/ Fortes pluies/ Inondation pluie,Solutions fondées sur la nature,OPEX majoritaire > main d’œuvre,80 000 €,3,2,Moyen terme,6,Non,Non
Analyser l’exposition climatique de la chaîne d’approvisionnement,"Cartographie des fournisseurs situés en zones exposées aux inondations, sécheresses ou vagues de chaleur. Les achats critiques sont sécurisés par des fournisseurs alternatifs ou des stocks tampons ciblés.",Modif T° air/ Stress Hydrique/ Vague de chaleur/ Fortes pluies/ Inondation fluviale/ Inondation nappe/ Inondation pluie/ RGA/ Chaleur extrême/ Tempêtes/ Vague de gel,Solutions fondées sur la nature,OPEX majoritaire > main d’œuvre,80 000 €,3,2,Long terme,5,Non,Non
Développer la gestion naturaliste des espaces végétalisés,"Mise en place d’une fauche tardive, maintien de bois mort sécurisé et limitation de l’arrosage aux jeunes plantations. Les espaces verts deviennent des milieux vivants plutôt que des pelouses uniformes.",Vague de chaleur/ Chaleur extrême/ Modif T° air / Stress Hydrique,Solutions fondées sur la nature,OPEX majoritaire > main d’œuvre,80 000 €,3,2,Long terme,6,Non,Non
Libre évolution et taille raisonnée,"Suppression des tailles systématiques en boule et conservation de zones laissées en croissance libre. Les arbustes fleurissent davantage, protègent mieux les sols et offrent des refuges à la faune.",Vague de chaleur/ Chaleur extrême/ Stress Hydrique/ Modif T° air,Solutions fondées sur la nature,OPEX majoritaire > main d’œuvre,80 000 €,3,2,Moyen terme,0,Non,Non
Réduction des intrants d’entretien,"Remplacement des herbicides par du paillage, du désherbage mécanique ciblé et des plantes couvre-sol. Les sols et l’eau sont moins pollués, et l’entretien devient moins dépendant de produits chimiques.",Stress Hydrique/ Modif T° air/ Vague de chaleur,Organisationnelles,OPEX majoritaire > main d’œuvre,15 000 €,1,"0,5",Moyen terme,1,Non,Non
Renaturation par régénération spontanée,"Arrêt des plantations intensives sur une zone pauvre et suivi de la recolonisation par graminées, arbustes pionniers et jeunes arbres. Le milieu se reconstitue avec des espèces adaptées aux contraintes locales.",Vague de chaleur/ Chaleur extrême/ Stress Hydrique/ Fortes pluies/ Inondation pluie,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,6,Non,Non
Phytomanagement des sites dégradés,"Plantation de saules, peupliers ou graminées capables de stabiliser des polluants dans un sol dégradé. Le site est sécurisé progressivement tout en préparant une reconversion paysagère ou écologique.",Stress Hydrique/ Fortes pluies/ Inondation pluie/ Modif T° air,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,6,Non,Non
Génie pédologique,"Reconstitution d’un sol fertile par apport de compost mûr, structuration en horizons et ensemencement d’un couvert végétal. Une zone compactée retrouve une capacité d’infiltration et peut accueillir des plantations durables.",Stress Hydrique/ Fortes pluies/ Inondation pluie/ Inondation nappe,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,6,Non,Non
Dépollution par phytotechnologies,"Implantation de plantes accumulatrices sur une ancienne zone de stockage polluée, avec fauches exportées et suivi des concentrations. Les polluants diminuent progressivement sans excavation massive du sol.",Stress Hydrique/ Fortes pluies/ Inondation pluie,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,6,Non,Non
Diagnostic local des impacts climatiques,"Analyse des cartes d’inondation, îlots de chaleur, vents dominants et sécheresse à l’échelle du quartier. Le plan d’action cible les risques réellement présents autour du site.",Tous aléas climatiques,Organisationnelles,OPEX majoritaire > main d’œuvre,30 000 €,1,1,Moyen terme,4,Non,Non
Évaluation initiale des écosystèmes,"Inventaire initial des habitats, espèces, sols, zones humides et arbres structurants avant tout choix d’aménagement. L’état de référence permet de mesurer ensuite les gains ou pertes écologiques.",Fortes pluies/ Inondation pluie/ Modif T° air/ Stress Hydrique/ Vague de chaleur/ Tempêtes/ Chaleur extrême/ RGA/ Inondation fluviale/ Inondation nappe,Organisationnelles,OPEX majoritaire > main d’œuvre,50 000 €,2,2,Moyen terme,4,Non,Non
Dimensionner les équipements pour les pics climatiques futurs,"Choix de pompes, groupes froids, drains ou protections électriques capables de fonctionner lors d’épisodes de chaleur ou pluie plus intenses. Les installations ne sont pas dimensionnées uniquement sur le climat passé.",Tous aléas climatiques,Technique,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,2,Non,Oui
Structurer la stratégie d’adaptation climatique,"Définition d’objectifs, d’un budget, d’un calendrier et d’indicateurs pour traiter les risques chaleur, eau et inondation. L’adaptation devient un pilotage d’entreprise plutôt qu’une suite d’actions isolées.",Tous aléas climatiques,Technique,CAPEX majoritaire > court terme,50 000 €,2,2,Court terme,1,Non,Non
Sensibiliser et former aux risques climatiques,"Organisation d’ateliers pour expliquer les consignes en cas de canicule, d’inondation ou de coupure électrique. Les équipes savent qui prévenir, quelles zones éviter et quelles opérations mettre en sécurité.",Tous aléas climatiques,Humaines,Capital humain,250 000 €,10,3,Long terme,10,Non,Non
Utiliser un outil d’aide au choix des essences arborées,"Utilisation d’une base de données climatique et botanique pour sélectionner des arbres compatibles avec le sol, l’exposition et les sécheresses futures. Les essences choisies ont plus de chances de survivre sans arrosage excessif.",Modif T° air/ Vague de chaleur/ Chaleur extrême/ Stress Hydrique/ Vague de gel,Technique,OPEX majoritaire > main d’œuvre,50 000 €,2,2,Long terme,7,Non,Non
Lancer la dynamique d’adaptation et gouverner le diagnostic,"Création d’un comité interne réunissant exploitation, immobilier, achats et direction pour cadrer le diagnostic climatique. Les responsabilités, données disponibles et sites prioritaires sont clarifiés dès le départ.",Tous aléas climatiques,Organisationnelles,Capital humain,30 000 €,1,1,Moyen terme,4,Non,Non
Analyser l’historique des aléas et sinistres déjà subis,"Analyse des déclarations d’assurance, interruptions d’activité, photos de dégâts et retours des équipes après orages, crues ou canicules passés. Les vulnérabilités déjà observées servent de base aux priorités d’action.",Tous aléas climatiques,Organisationnelles,Capital humain,30 000 €,1,1,Moyen terme,4,Non,Non
Analyser les facteurs de prédisposition du site,"Repérage des points bas, locaux techniques en sous-sol, surfaces vitrées exposées et accès uniques du site. Ces caractéristiques expliquent pourquoi un même aléa peut provoquer plus de dégâts ici qu’ailleurs.",Inondation nappe/ Inondation pluie/ RGA/ Chaleur extrême/ Tempêtes,Technique,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,4,Non,Non
Évaluer régulièrement la vulnérabilité des équipements,"Contrôle annuel des groupes froids, armoires électriques, pompes de relevage et protections anti-inondation avant les saisons à risque. Les équipements critiques restent adaptés aux conditions climatiques qui évoluent.",Tous aléas climatiques,Technique,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,4,Non,Oui
Quantifier les coûts financiers des impacts climatiques,"Estimation des pertes de chiffre d’affaires, réparations, pénalités et surcoûts de personnel liés à une fermeture pour inondation ou chaleur extrême. Les risques climatiques sont traduits en euros pour arbitrer les investissements.",Tous aléas climatiques,Financières,OPEX majoritaire > main d’œuvre,15 000 €,1,"0,5",Moyen terme,0,Non,Non
Renforcer la continuité d’activité en situation de crise,"Préparation de scénarios de repli, fournisseurs alternatifs, procédures de télétravail et priorisation des activités essentielles. L’entreprise peut maintenir un service minimal même si un site est temporairement indisponible.",Tous aléas climatiques,Organisationnelles,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,2,Non,Non
Prévenir la mal-adaptation dans le choix des solutions,"Vérification qu’une solution ne déplace pas le problème, par exemple éviter une climatisation rejetant trop de chaleur en rue sans protection solaire. Les choix retenus réduisent le risque sans en créer un nouveau.",Tous aléas climatiques,Organisationnelles,Capital humain,30 000 €,1,1,Moyen terme,8,Non,Non
Choisir l’outil d’adaptation selon le niveau de maturité,"Sélection d’un tableur simple, d’un diagnostic expert ou d’un outil cartographique selon les données disponibles et l’avancement de l’entreprise. L’outil choisi correspond réellement à la capacité d’action interne.",Tous aléas climatiques,Organisationnelles,Capital humain,50 000 €,2,2,Moyen terme,7,Non,Non
Réaliser des visites terrain pour fiabiliser les préconisations,"Visite des zones techniques, accès livraison, parkings, toitures et points bas avec l’exploitant du site. Les préconisations tiennent compte des contraintes visibles et pas seulement des cartes de risque.",Tous aléas climatiques,Humaines,OPEX majoritaire > main d’œuvre,30 000 €,1,1,Court terme,0,Non,Non
Établir un score brut et net de risque climatique,"Calcul d’un risque brut avant mesures puis d’un risque net après protections existantes comme batardeaux, ombrages ou pompes. L’écart montre l’efficacité réelle des dispositifs déjà en place.",Tous aléas climatiques,Technique,Capital humain,50 000 €,2,2,Moyen terme,4,Non,Non
Chiffrer les CAPEX et OPEX d’adaptation,"Estimation séparée du coût d’installation d’une noue, de son entretien annuel et du renouvellement des végétaux. Le budget d’adaptation intègre l’investissement initial et les dépenses futures.",Tous aléas climatiques,Financières,Capital humain,30 000 €,1,1,Moyen terme,0,Non,Non
Mettre en place des outils de prévention et de surveillance,"Installation de capteurs de niveau d’eau, alertes météo paramétrées et ronde préventive avant orage. Les équipes sont prévenues assez tôt pour fermer les accès sensibles ou protéger le matériel.",Inondation nappe/ Inondation pluie/ Fortes pluies/ Inondation fluviale/ RGA/ Stress Hydrique/ Chaleur extrême/ Tempêtes/ Vague de chaleur,Technique,CAPEX majoritaire > court terme,50 000 €,2,2,Court terme,7,Non,Oui
Étendre les audits de vulnérabilité à des sites représentatifs,"Réalisation d’audits sur un magasin urbain, un entrepôt, un siège tertiaire et un site en zone inondable. Les résultats permettent d’extrapoler les besoins d’adaptation à l’ensemble du parc.",Tous aléas climatiques,Organisationnelles,Capital humain,50 000 €,2,2,Moyen terme,4,Non,Non
Structurer un référentiel interne d’actions d’adaptation,"Création d’une bibliothèque interne d’actions avec conditions d’usage, coûts, bénéfices, limites et exemples de sites adaptés. Les équipes peuvent répliquer les solutions pertinentes sans repartir de zéro.",Tous aléas climatiques,Humaines,Capital humain,250 000 €,10,3,Long terme,0,Non,Non
Outiller la prise de décision pour un plan d’investissement global,"Construction d’une matrice croisant niveau de risque, coût des travaux, urgence et bénéfices pour les usagers. Les investissements sont classés entre actions immédiates, travaux lourds et mesures à programmer.",Tous aléas climatiques,Financières,Capital humain,50 000 €,2,2,Moyen terme,7,Non,Non
Intégrer l’adaptation dans la stratégie immobilière de long terme,"Intégration de critères chaleur, eau, inondation et biodiversité dans les rénovations, acquisitions et arbitrages patrimoniaux. Les actifs les plus exposés font l’objet de travaux ou d’une stratégie de sortie.",Tous aléas climatiques,Organisationnelles,Capital humain,30 000 €,1,1,Moyen terme,2,Non,Non
Utiliser l’évaluation du risque climatique en prospection foncière,"Analyse d’un terrain pressenti avec cartes de crue, accès de secours, disponibilité en eau et exposition aux fortes chaleurs. Un site moins risqué peut être privilégié avant même l’achat ou la signature du bail.",Tous aléas climatiques,Financières,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,4,Non,Non
Écarter les implantations trop vulnérables,Abandon d’un projet d’implantation dont l’unique accès est régulièrement coupé par les crues. L’entreprise évite de créer un actif qui serait difficile à exploiter ou assurer.,Tous aléas climatiques,Financières,Capital humain,250 000 €,10,3,Long terme,0,Non,Non
Inscrire l’adaptation comme complément de la décarbonation,Ajout d’un volet adaptation dans le plan climat interne déjà centré sur les émissions de gaz à effet de serre. Les travaux réduisent à la fois l’empreinte carbone et la vulnérabilité aux aléas.,Tous aléas climatiques,Organisationnelles,Capital humain,15 000 €,1,"0,5",Moyen terme,0,Non,Non
Identifier les sites les plus vulnérables à l’inondation,"Classement des sites selon leur hauteur d’eau potentielle, la présence de sous-sols, les accès coupables et les sinistres historiques. Les magasins les plus exposés sont traités en priorité.",Inondation fluviale/ Inondation pluie/ Inondation nappe/ Fortes pluies,Technique,Capital humain,50 000 €,2,2,Moyen terme,0,Non,Non
Organiser un exercice inondation annuel,"Simulation annuelle d’une montée des eaux avec fermeture d’accès, pose de batardeaux et transfert de marchandises hors zone basse. L’exercice révèle les consignes floues avant une vraie crise.",Inondation fluviale/ Inondation pluie/ Inondation nappe,Humaines,OPEX majoritaire > main d’œuvre,15 000 €,1,"0,5",Moyen terme,1,Non,Non
Entretenir les dispositifs d’évacuation des eaux pluviales,"Curage régulier des avaloirs, nettoyage des grilles, inspection des descentes de toiture et retrait des feuilles avant les périodes d’orage. L’eau s’évacue correctement quand les pluies deviennent intenses.",Fortes pluies/ Inondation pluie/ RGA,Technique,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,6,Non,Non
Construire un dialogue régulier avec collectivités et services techniques,"Organisation d’une réunion semestrielle avec mairie, intercommunalité, gestionnaire de voirie et service assainissement. Les travaux privés et publics sont coordonnés avant les périodes de pluie ou de chaleur.",Tous aléas climatiques,Organisationnelles,Capital humain,15 000 €,1,"0,5",Moyen terme,3,Non,Non
Mutualiser les solutions entre sites voisins,"Partage d’un bassin de rétention, d’un groupe électrogène mobile ou d’une aire refuge entre plusieurs entreprises d’une même zone. Les coûts et bénéfices sont répartis plutôt que portés par un seul site.",Fortes pluies/ Inondation pluie/ Vague de chaleur/ Chaleur extrême,Organisationnelles,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,3,Non,Non
Anticiper la gestion de crise et capitaliser sur les retours d’expérience,"Création d’un retour d’expérience après chaque épisode climatique : décisions prises, délais, blocages, dépenses et améliorations à prévoir. La procédure de crise s’améliore à chaque événement.",Tous aléas climatiques,Organisationnelles,OPEX majoritaire > main d’œuvre,15 000 €,1,"0,5",Moyen terme,1,Non,Non
Analyser les dépendances logistiques critiques,"Identification des transporteurs, entrepôts, routes d’accès et fournisseurs dont l’arrêt bloquerait l’activité. Des itinéraires alternatifs, stocks de sécurité ou contrats de secours sont préparés.",Fortes pluies/ Inondation pluie/ Tempêtes/ Vague de chaleur/ Vague de gel/ Inondation fluviale,Organisationnelles,Capital humain,30 000 €,1,1,Moyen terme,5,Oui,Non
Créer des conditions d’interconnaissance entre acteurs économiques,"Organisation de rencontres entre entreprises voisines pour partager cartes de risques, contacts d’urgence et ressources disponibles. Les acteurs se connaissent avant d’avoir à coopérer pendant une crise.",Tous aléas climatiques,Organisationnelles,OPEX majoritaire > main d’œuvre,30 000 €,1,1,Moyen terme,3,Non,Non
Récupérer et réutiliser les eaux non conventionnelles,Récupération des eaux grises de douches pour alimenter des chasses d’eau ou arroser des espaces plantés après traitement adapté. L’entreprise réduit sa dépendance à l’eau potable pendant les périodes de restriction.,Stress Hydrique/ Fortes pluies/ Inondation pluie/ Vague de chaleur/ Chaleur extrême/ Modif T° air/ Inondation fluviale/ Inondation nappe,Technique,CAPEX majoritaire > court terme,250 000 €,10,3,Long terme,6,Non,Non
Prévoir des moyens de téléphonie satellitaire,"Achat de téléphones satellitaires pour l’équipe de crise, avec cartes SIM activées, batteries externes et test trimestriel d’appel. Les responsables restent joignables même lorsque les réseaux mobiles sont coupés après une tempête ou une inondation.",Tempêtes/ Inondation pluie/ Inondation fluviale/ Vague de gel,Technique,CAPEX majoritaire > court terme,50 000 €,2,2,Court terme,2,Non,Non
Renforcer la coordination avec les autorités locales en cas de circulation interdite,"Création d’un canal direct avec la préfecture, la mairie et les gestionnaires de voirie, avec liste de contacts et message type à diffuser. Les livraisons et déplacements sont suspendus plus vite lorsqu’un arrêté interdit la circulation.",Tempêtes/ Inondation pluie/ Inondation fluviale/ Vague de gel,Organisationnelles,OPEX majoritaire > main d’œuvre,15 000 €,1,"0,5",Moyen terme,0,Non,Non
