Titre de l’action d’adaptation,Exemple,Aléa climatique visé,Catégorie ressources,Catégorie entreprise,Prix,Prix crédit,Temps,Score
Phytomanagement des sites dégradés,"Aménagement d’un espace pilote avec végétation locale, sol perméable et suivi de l’eau disponible. Le site gagne en fraîcheur, absorbe mieux les pluies et devient plus résistant face aux fortes chaleurs.",Stress Hydrique; Fortes pluies; Inondation pluie; Modif T° air,Fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Génie pédologique,"Aménagement d’un espace pilote avec végétation locale, sol perméable et suivi de l’eau disponible. Le site gagne en fraîcheur, absorbe mieux les pluies et devient plus résistant face aux fortes pluies et inondations.",Stress Hydrique; Fortes pluies; Inondation pluie; Inondation nappe,Fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Installer un talus en enrochement atténuateur de houle,"Aménagement d’un espace pilote avec végétation locale, sol perméable et suivi de l’eau disponible. Le site gagne en fraîcheur, absorbe mieux les pluies et devient plus résistant face aux fortes pluies et inondations.",Fortes pluies; Inondation fluviale; Inondation pluie; Tempêtes,Fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Dépollution par phytotechnologies,"Aménagement d’un espace pilote avec végétation locale, sol perméable et suivi de l’eau disponible. Le site gagne en fraîcheur, absorbe mieux les pluies et devient plus résistant face aux fortes pluies et inondations.",Stress Hydrique; Fortes pluies; Inondation pluie,Fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Diagnostic local des impacts climatiques,"Actualisation annuelle d’une cartographie des sites exposés, en intégrant les dernières projections climatiques et les incidents déjà observés. Les bâtiments, fournisseurs et équipements les plus vulnérables sont priorisés avant les prochaines fortes chaleurs ou inondations.",Fortes pluies; Inondation fluviale; Inondation nappe; Inondation pluie; Modif T° air; RGA; Stress Hydrique; Chaleur extrême; Tempêtes; Vague de chaleur; Vague de gel,Organisationnelles,OPEX majoritaire > main d’œuvre,30 000 €,1,Moyen terme,4
Évaluation initiale des écosystèmes,"Mise à jour d’une procédure interne avec responsables nommés, seuils d’alerte et test sur un site pilote. Les décisions sont plus rapides lorsque les fortes chaleurs menacent la continuité des activités.",Fortes pluies; Inondation pluie; Modif T° air; Stress Hydrique; Vague de chaleur; Tempêtes; Chaleur extrême; RGA; Inondation fluviale; Inondation nappe; Non listé: feu,Organisationnelles,OPEX majoritaire > main d’œuvre,50 000 €,2,Moyen terme,6
Dimensionner les équipements pour les pics climatiques futurs,"Équipement d’un bâtiment prioritaire avec protections physiques, capteurs de suivi et procédure de maintenance renforcée. Les usages essentiels sont mieux protégés lorsque les fortes chaleurs perturbent le site.",Fortes pluies; Inondation fluviale; Inondation nappe; Inondation pluie; Modif T° air; RGA; Stress Hydrique; Chaleur extrême; Tempêtes; Vague de chaleur; Vague de gel,Technique,CAPEX majoritaire > long terme,250 000 €,10,Long terme,1
Diffuser des documents sectoriels de sensibilisation aux risques climatiques,"Actualisation annuelle d’une cartographie des sites exposés, en intégrant les dernières projections climatiques et les incidents déjà observés. Les bâtiments, fournisseurs et équipements les plus vulnérables sont priorisés avant les prochaines fortes chaleurs ou inondations.",Fortes pluies; Inondation fluviale; Inondation nappe; Inondation pluie; Modif T° air; RGA; Stress Hydrique; Chaleur extrême; Tempêtes; Vague de chaleur; Vague de gel,Ressources humaines,Capital humain,30 000 €,1,Moyen terme,4
Structurer la stratégie d’adaptation climatique,"Inscription d’un point adaptation climatique à chaque comité stratégique, avec arbitrage budgétaire et suivi des obligations réglementaires. Les décisions d’investissement tiennent compte des conditions climatiques futures plutôt que du climat passé.",Fortes pluies; Inondation fluviale; Inondation nappe; Inondation pluie; Modif T° air; RGA; Stress Hydrique; Chaleur extrême; Tempêtes; Vague de chaleur; Vague de gel,Technique,CAPEX majoritaire > court terme,50 000 €,2,Court terme,4
Sensibiliser et former aux risques climatiques,"Actualisation annuelle d’une cartographie des sites exposés, en intégrant les dernières projections climatiques et les incidents déjà observés. Les bâtiments, fournisseurs et équipements les plus vulnérables sont priorisés avant les prochaines fortes chaleurs ou inondations.",Fortes pluies; Inondation fluviale; Inondation nappe; Inondation pluie; Modif T° air; RGA; Stress Hydrique; Chaleur extrême; Tempêtes; Vague de chaleur; Vague de gel; Tous aléas climatiques,Technique,Capital humain,250 000 €,10,Long terme,7
Améliorer la ventilation et le rafraîchissement passif,"Équipement d’un bâtiment prioritaire avec protections physiques, capteurs de suivi et procédure de maintenance renforcée. Les usages essentiels sont mieux protégés lorsque les fortes chaleurs perturbent le site.",Fortes pluies; Inondation fluviale; Inondation nappe; Inondation pluie; Modif T° air; RGA; Stress Hydrique; Chaleur extrême; Tempêtes; Vague de chaleur; Vague de gel; Tous risques climatiques extrêmes,Organisationnelles,OPEX main d’œuvre,50 000 €,2,Moyen terme,0
Utiliser un outil d’aide au choix des essences arborées,"Rénovation d’un bâtiment prioritaire avec isolation renforcée, protections solaires, ventilation nocturne et vérification des seuils d’inondation au rez-de-chaussée. Les occupants restent protégés et les activités essentielles peuvent continuer pendant les épisodes climatiques extrêmes.",Modif T° air; Vague de chaleur; Chaleur extrême; Stress Hydrique; Vague de gel,Technique,OPEX majoritaire > main d’œuvre,50 000 €,2,Long terme,6
Aménager un campus résilient et végétalisé,"Inscription d’un point adaptation climatique à chaque comité stratégique, avec arbitrage budgétaire et suivi des obligations réglementaires. Les décisions d’investissement tiennent compte des conditions climatiques futures plutôt que du climat passé.",Vague de chaleur; Chaleur extrême; Stress Hydrique; Modif T° air,Fondées sur la nature,OPEX majoritaire > main d’œuvre,250 000 €,10,Long terme,6
Intégrer une stratégie de renaturation au PLUi,"Aménagement d’un espace pilote avec végétation locale, sol perméable et suivi de l’eau disponible. Le site gagne en fraîcheur, absorbe mieux les pluies et devient plus résistant face aux fortes chaleurs.",Vague de chaleur; Chaleur extrême; Fortes pluies; Inondation pluie; Stress Hydrique; Modif T° air,Fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Transformer une cour d’école en îlot de fraîcheur,"Actualisation annuelle d’une cartographie des sites exposés, en intégrant les dernières projections climatiques et les incidents déjà observés. Les bâtiments, fournisseurs et équipements les plus vulnérables sont priorisés avant les prochaines fortes chaleurs ou inondations.",Vague de chaleur; Chaleur extrême; Modif T° air; Fortes pluies; Inondation pluie; Stress Hydrique,Fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Lancer la dynamique d’adaptation et gouverner le diagnostic,"Actualisation annuelle d’une cartographie des sites exposés, en intégrant les dernières projections climatiques et les incidents déjà observés. Les bâtiments, fournisseurs et équipements les plus vulnérables sont priorisés avant les prochaines fortes chaleurs ou inondations.",Tous aléas climatiques,Organisationnelles,Capital humain,30 000 €,1,Moyen terme,4
Définir le périmètre d’analyse du site commercial,"Actualisation annuelle d’une cartographie des sites exposés, en intégrant les dernières projections climatiques et les incidents déjà observés. Les bâtiments, fournisseurs et équipements les plus vulnérables sont priorisés avant les prochaines fortes chaleurs ou inondations.",Tous aléas climatiques,Organisationnelles,Capital humain,30 000 €,1,Moyen terme,4
Structurer la stratégie d’adaptation climatique,"Actualisation annuelle d’une cartographie des sites exposés, en intégrant les dernières projections climatiques et les incidents déjà observés. Les bâtiments, fournisseurs et équipements les plus vulnérables sont priorisés avant les prochaines fortes chaleurs ou inondations.",Fortes pluies; Inondation pluie; Modif T° air; Stress Hydrique; Tempêtes; Vague de chaleur; Tous aléas climatiques; Inondation fluviale; Inondation nappe; RGA; Chaleur extrême; Vague de gel,Technique,CAPEX majoritaire > long terme,250 000 €,10,Long terme,4
Analyser l’historique des aléas et sinistres déjà subis,"Actualisation annuelle d’une cartographie des sites exposés, en intégrant les dernières projections climatiques et les incidents déjà observés. Les bâtiments, fournisseurs et équipements les plus vulnérables sont priorisés avant les prochaines fortes chaleurs ou inondations.",Tous aléas climatiques,Organisationnelles,Capital humain,30 000 €,1,Moyen terme,4
Analyser les facteurs de prédisposition du site,"Création d’une ligne budgétaire dédiée à l’adaptation, couvrant diagnostics, travaux prioritaires et entretien renforcé. Les dépenses sont planifiées avant les dommages, ce qui évite des réparations urgentes plus coûteuses après un aléa climatique.",Inondation nappe; Inondation pluie; RGA; Chaleur extrême; Tempêtes,Technique,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Évaluer régulièrement la vulnérabilité des équipements,"Scénario de crise testé avant l’été : bascule en télétravail, salles fraîches ouvertes, contact fournisseurs critiques et procédure de fermeture temporaire. Les équipes savent quoi faire lorsque chaleur, inondation ou tempête perturbent le fonctionnement normal.",Tous aléas climatiques; Modif T° air; Chaleur extrême; Stress Hydrique; Fortes pluies; Inondation fluviale; Inondation pluie; Inondation nappe; Tempêtes; Vague de gel; Vague de chaleur; RGA,Technique,CAPEX majoritaire > long terme,250 000 €,10,Long terme,4
Quantifier les coûts financiers des impacts climatiques,"Mise à jour d’une procédure interne avec responsables nommés, seuils d’alerte et test sur un site pilote. Les décisions sont plus rapides lorsque les fortes chaleurs menacent la continuité des activités.",Tous aléas climatiques; Fortes pluies; Inondation fluviale; Inondation pluie; Modif T° air; Stress Hydrique; Chaleur extrême; Tempêtes; Vague de chaleur,Financières,OPEX main d’œuvre,15 000 €,1,Moyen terme,0
Renforcer la continuité d’activité en situation de crise,"Mise à jour d’une procédure interne avec responsables nommés, seuils d’alerte et test sur un site pilote. Les décisions sont plus rapides lorsque les tous aléas climatiques menacent la continuité des activités.",Tous aléas climatiques; Tempêtes; Vague de chaleur; Fortes pluies; Inondation pluie; Vague de gel; Chaleur extrême; Modif T° air; Inondation fluviale; Inondation nappe; Stress Hydrique; Non listé: feu; Non listé: submersion marine,Organisationnelles,CAPEX majoritaire > long terme,250 000 €,10,Long terme,2
Prévenir la mal-adaptation dans le choix des solutions,"Formation courte des équipes exposées, avec consignes opérationnelles et exercice pratique sur site. Les personnes savent adapter leurs horaires, leurs déplacements et leurs gestes lors des fortes chaleurs.",Tous aléas climatiques; Chaleur extrême; Vague de chaleur; Stress Hydrique; Modif T° air,Organisationnelles,Capital humain,30 000 €,1,Moyen terme,4
Choisir l’outil d’adaptation selon le niveau de maturité,"Équipement d’un bâtiment prioritaire avec protections physiques, capteurs de suivi et procédure de maintenance renforcée. Les usages essentiels sont mieux protégés lorsque les tous aléas climatiques perturbent le site.",Tous aléas climatiques,Organisationnelles,Capital humain,50 000 €,2,Moyen terme,7
Réaliser des visites terrain pour fiabiliser les préconisations,"Réservation d’un budget annuel pour les diagnostics, travaux prioritaires et réparations préventives. Les investissements sont déclenchés avant les dégâts majeurs liés aux tous aléas climatiques, ce qui réduit les interruptions et les surcoûts.",Tous aléas climatiques; Inondation fluviale; Inondation pluie; Tempêtes; Vague de chaleur,Ressources humaines,OPEX majoritaire - main d’œuvre,30 000 €,1,Court terme,7
Établir un score brut et net de risque climatique,"Tableau de bord mensuel avec jours de fermeture liés à la chaleur, dégâts après pluie intense, incidents fournisseurs et coûts de maintenance climatique. Les tendances repérées déclenchent des ajustements rapides avant que les fragilités ne s’aggravent.",Tous aléas climatiques,Technique,Capital humain,50 000 €,2,Moyen terme,4
Chiffrer les CAPEX et OPEX d’adaptation,"Actualisation annuelle d’une cartographie des sites exposés, en intégrant les dernières projections climatiques et les incidents déjà observés. Les bâtiments, fournisseurs et équipements les plus vulnérables sont priorisés avant les prochaines fortes chaleurs ou inondations.",Tous aléas climatiques,Financières,Capital humain,30 000 €,1,Moyen terme,4
Mettre en place des outils de prévention et de surveillance,"Formation courte des équipes exposées, avec consignes opérationnelles et exercice pratique sur site. Les personnes savent adapter leurs horaires, leurs déplacements et leurs gestes lors des fortes chaleurs.",Inondation nappe; Inondation pluie; Fortes pluies; Inondation fluviale; RGA; Stress Hydrique; Chaleur extrême; Tempêtes; Vague de chaleur,Technique,CAPEX majoritaire > court terme,50 000 €,2,Court terme,4
Étendre les audits de vulnérabilité à des sites représentatifs,"Réservation d’un budget annuel pour les diagnostics, travaux prioritaires et réparations préventives. Les investissements sont déclenchés avant les dégâts majeurs liés aux tous aléas climatiques, ce qui réduit les interruptions et les surcoûts.",Tous aléas climatiques,Organisationnelles,Capital humain,50 000 €,2,Moyen terme,4
Structurer un référentiel interne d’actions d’adaptation,"Rénovation d’un bâtiment prioritaire avec isolation renforcée, protections solaires, ventilation nocturne et vérification des seuils d’inondation au rez-de-chaussée. Les occupants restent protégés et les activités essentielles peuvent continuer pendant les épisodes climatiques extrêmes.",Tous aléas climatiques; Stress Hydrique; Vague de chaleur; Chaleur extrême,Ressources humaines,Capital humain,250 000 €,10,Long terme,7
