Titre,Exemple,Cat,Tag,Lien,Credit,Terme,Aléa,Enjeu
Végétalisation du bâtiment,(ex : installation de murs végétalisés sur le bâtiment Carnot),Ressources Solutions fondées sur la Nature,6,,,,,
Création de nouveaux habitats naturels sur le campus,(ex : créer des prairies fleuries sur les espaces peu utilisés),Ressources Solutions fondées sur la Nature,6,,,,,
Renforcement de la trame végétale du campus,(ex : replanter des alignements d'arbres),Ressources Solutions fondées sur la Nature,9,,,,,
Gestion intégrée des eaux pluviales sur le campus,(ex : installer des noues végétalisées autour des parkings et chemins du campus),Ressources Solutions fondées sur la Nature,6,,,,,
Conservation des habitats existants pour la biodiversité,(ex : étendre le jardin Pontanique),Ressources Solutions fondées sur la Nature,6,,,,,
Création de corridors écologiques pour le déplacement des espèces à l'échelle du campus,(ex : relier les espaces verts par haies),Ressources Solutions fondées sur la Nature,6,,,,,
Renaturation des circulations hydriques du campus,(ex : restaurer les zones naturelles d'infiltration),Ressources Solutions fondées sur la Nature,6,,,,,
"Désimperméabilisation des parkings avec des parcelles ""éponge""",(ex : transformer certaines places de parking en surfaces drainantes végétalisées),Ressources Solutions fondées sur la Nature,6,,,,,
Création de points d'eau permanents,(ex : installer une mare plus grande que la toute petite existante),Ressources Solutions fondées sur la Nature,6,,,,,
Choix d'essences végétales adaptées au futur climat de Champs-sur-Marne,(ex : choisir des érables champêtres résistants aux vagues de chaleur et aux gélées),Ressources Solutions fondées sur la Nature,6,,,,,
Restauration écologiques des sols dégradés du campus,(ex : réhabiliter les sols compactés autour des bâtiments),Ressources Solutions fondées sur la Nature,6,,,,,
Réduction des intrants chimiques dans la gestion du campus,(ex : supprimer progressivement herbicides et pesticides),Ressources Solutions fondées sur la Nature,6,,,,,
Gestion différenciée et écologique des espaces verts,(ex : mettre certains pelouses en fauche tardive et tester l'écopâturage),Ressources Solutions fondées sur la Nature,6,,,,,
Déploiement de solutions de ventilation naturelles dans les bâtiments,(ex : installer des ouvrants automatisés),Ressources Solutions fondées sur la Nature,6,,,,,
Mise en place de protocoles d'urgence et de gestion de crfise climatique pour la campus,(ex : créer Plan Campus Résilience Climatique avec plusieurs niveaux d'alerte climatique),Ressources Organisationnelles,5,,,,,
Diversification des fournisseurs stratégiques du campus et des laboratoires,(ex : identifier des fournisseurs alterantifs pour les équipements critiques des laboratoires),Ressources Organisationnelles,5,,,,,
Engager un dialogue avec ses principaux fournisseurs sur la résilience de leurs sites,(ex : organiser un échange annuel avec le MRS sur leurs plans de résilience climatique),Ressources Organisationnelles,5,,,,,
Politique de maintenance des bâtiments intégrant les risques climatiques,(ex : renforcer maintenant des réseaux pluviaux),Ressources Organisationnelles,1,,,,,
Etablissement de règles de maintenance des équipements critique en prenant en compte les aléas,(ex : mettre en place une vérification saisonnière des équipements des équipements sensibles aux fortes chaleurs),Ressources Organisationnelles,0,,,,,
Politique de gestion des conditions de travail des employés prenant en compte les risques climatiques,(ex : adapter les horaires lors des fortes chaleurs),Ressources Organisationnelles,0,,,,,
Politique de gestion des conditions de travail des prestataires prenant en compte les risques climatiques,(ex : imposer des horaires aménagés pour les équipes de maintenance en été),Ressources Organisationnelles,5,,,,,
Analyse regulière et mise à jour des dépendances critiques de l'École et des risques climatiques associés,(ex : mettre en place une cartographie des dépendances aux ressources),Ressources Organisationnelles,1,,,,,
Plan de continuité pédagogique / scientifique et administrative,(ex : prévoir passage automatique en hybride pendant les canicules),Ressources Organisationnelles,0,,,,,
Dialogue avec les fournisseurs et distributeurs sur la résilience de l'approvisionnement face aux aléas,(ex : échanger avec les fournisseurs de matériels sur les risques de rupture logistique),Ressources Organisationnelles,5,,,,,
Collaboration avec les acteurs de territoire Paris-Est sur les stratégies et méthodes,(ex : mutualiser les retours d'expérience avec Université Gustave Eiffel),Ressources Organisationnelles,3,,,,,
Relocalisation des équipements et activités essentiels aux étages supérieurs,(ex : déplacer les équipements sensibles hors sous-sols inondables),Ressources Organisationnelles,0,,,,,
Flexibiliser les pratiques d’organisation d'enseignement,(ex : autoriser le télétravail et les horaires matinaux pendant les fortes chaleurs),Ressources Organisationnelles,0,,,,,
Apprentissage à partir des retours d’expérience des établissements d’enseignement supérieur et de recherche,(ex : s'inspirer des plans d'adaptation de CentraleSupélec),Ressources Organisationnelles,3,,,,,
Mise en place d'indicateurs de suivi / d'outils et de méthodologies,(ex : construire un tableau de bord climat campus),Ressources Organisationnelles,7,,,,,
Priorisation des risques climatiques pour le campus selon les horizons temporels,(ex : prioriser canicule à l'horizon 2030 / sécheresse structurelle à horizon 2050),Ressources Organisationnelles,2,,,,,
Alignement avec les normes et réglementation liées à l'adaptation climatique,(ex : intégrer les recommandations de la RE2020),Ressources Organisationnelles,0,,,,,
Alignement des investissements immobiliers et scientifiques avec les risques climatiques futurs,(ex : éviter un invetissement bâtiment non viable sous +4°C),Ressources Financières,8,,,,,
Prise en comptes dans la gestion financière des surcoûts d'approvisionnement induits par des dommages sur les sites de ses principaux fournisseurs,(ex : créer une réserve budgétaire pour la hausse des matériaux pour la semaine design),Ressources Financières,0,,,,,
Couverture assurantielle adaptée aux risques pesant sur les bâtiments / laboratoires et continuité d’activité,(ex : étendre les assurance aux pertes d'exploitation des serveurs),Ressources Financières,5,,,,,
Plan de financement dédié à la résilience du campus et des infrastructures,(ex : créer un budget pluriannuel dédié à la résilience),Ressources Financières,0,,,,,
Mobilisation des financements publics,(ex : déposer des dossiers pour l'Agence de l'eau / les Fonds Barnier / et les Prêts verts),Ressources Financières,0,,,,,
Évaluation économique des besoins d’adaptation et des coûts de l’inaction,(ex : comparer coût fermeture campus pendant canicule au coût des investissements préventifs),Ressources Financières,0,,,,,
Recherche de financements pour maintenir et soutenir les activités très exposées,(ex : chercher financements dédiés aux laboratoires),Ressources Financières,9,,,,,
Quantité pertinente et suffisante de ressources financières,(ex : sanctuariser une enveloppe annuelle adaptation dans le budget),Ressources Financières,0,,,,,
Programmes de recherche et d’innovation alignés avec les enjeux d’adaptation,(ex : financer davantage de projets sur les villes durables),Ressources Financières,0,,,,,
Promotion des comportements individuels adaptés face aux fortes chaleurs,(ex : diffuser les consignes d'hydratation et d'acccès aux espaces frais),Ressources Humaines,0,,,,,
Sensibilisation et formation des étudiants / personnels et chercheurs continue avec une mise à jour des informations,(ex : formation adaptation pour les étudiants en 2ème année),Ressources Humaines,10,,,,,
Inscription de l’adaptation climatique dans les instances et agendas stratégiques de l’École,(ex : ajouter un point adaptation trimestriel au CODIR),Ressources Humaines,2,,,,,
Montée en compétences des équipes en interne sur les enjeux avec recours à une expertise externe si besoin,(ex : appui du Cerema),Ressources Humaines,10,,,,,
Les personnes responsables de la mise en place et du suivi du plan d'adaptation ont été identifiées,(ex : nommer un référent adaptation climatique rattaché à la direction),Ressources Humaines,10,,,,,
Communication aux usagers du campus des risques et des conduites à tenir en cas d'aléa,(ex : envoyer alerte SMS en cas de chaleur extrême avec consignes),Ressources Humaines,5,,,,,
Renforcement des solidarités et des réseaux d’entraide sur le campus,(ex : créer un dispositif de vigiliance pour étudiants isolés),Ressources Humaines,3,,,,,
Former aux dispositifs de secours mis en place et aux bons gestes du personnel et des usagers,(ex : organiser un exercice a nuel canicule),Ressources Humaines,10,,,,,
Le pilotage sur l'adaptation se fait à haut niveau avec une direction formée et les questions d'adaptation sont dans l'agenda stratégique,(ex : créer un comité d'adaptation rattaché au CODIR avec reporting annuel),Ressources Humaines,10,,,,,
