Titre de l’action d’adaptation,Exemple,Aléa climatique visé,Catégorie ressources,Catégorie entreprise,Prix,Prix crédit,Crédit normalisé,Temps,Score,Véhicules,Machines
Concevoir les trames vertes et bleues comme infrastructures de rafraîchissement,"Création d’un maillage continu entre une cour plantée, une allée ombragée et un bassin paysager. Les salariés peuvent circuler à l’ombre entre les bâtiments et les eaux de pluie alimentent les plantations en période chaude.",Vague de chaleur/ Chaleur extrême/ Modif T° air/ Fortes pluies/ Inondation pluie/ Tempêtes/ Stress Hydrique/ Inondation fluviale,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,6,Non,Non
Désimperméabiliser des berges,Retrait d’un revêtement imperméable en bord de rivière et remplacement par une berge en pente douce végétalisée. Les crues peuvent s’étaler localement et l’eau s’infiltre davantage dans le sol.,Modif T° air/ Vague de chaleur/ Fortes pluies/ Inondation pluie/ Inondation fluviale/ Inondation nappe,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,6,Non,Non
Dimensionner les moyens humains et financiers de l’adaptation,"Chiffrage d’un programme d’adaptation par site, avec besoins en chef de projet, prestataires, travaux et maintenance sur trois ans. L’entreprise sait quels moyens mobiliser avant de lancer les actions.",Tous aléas climatiques,Financières,Capital humain,15 000 €,1,"0,5",Moyen terme,2,Non,Non
Outiller la prise de décision pour un plan d’investissement global,"Construction d’une matrice croisant niveau de risque, coût des travaux, urgence et bénéfices pour les usagers. Les investissements sont classés entre actions immédiates, travaux lourds et mesures à programmer.",Tous aléas climatiques,Financières,Capital humain,50 000 €,2,2,Moyen terme,7,Non,Non
Réviser les contrats d’assurance à l’aune des sinistres climatiques,"Relecture des contrats multirisques avec l’assureur, en ajoutant un inventaire des bâtiments exposés, franchises, exclusions et délais d’indemnisation. L’entreprise sait à l’avance quels dommages climatiques seront couverts après un sinistre.",Tous aléas climatiques,Financières,Capital humain,25 000 €,1,1,Moyen terme,1,Non,Non
Soutenir les initiatives citoyennes de résilience,"Création d’un petit fonds local finançant jardins de pluie, ateliers de quartier, ombrières citoyennes et kits d’alerte. Les habitants peuvent tester rapidement des solutions de résilience.",Tous aléas climatiques,Financières,OPEX majoritaire > main d’œuvre,15 000 €,1,"0,5",Moyen terme,3,Non,Non
Reconnaître les investissements de prévention dans le dialogue assurantiel,"Transmission à l’assureur des factures de clapets anti-retour, protections anti-grêle et travaux de désimperméabilisation réalisés. Ces preuves facilitent la discussion sur les primes et montrent que l’entreprise réduit concrètement son exposition.",Tous aléas climatiques,Financières,Capital humain,25 000 €,1,1,Moyen terme,3,Non,Non
Évaluation économique des besoins d’adaptation et des coûts de l’inaction,"Chiffrage comparé du coût des travaux d’adaptation et des pertes attendues en cas d’inaction sur bâtiments, équipements et continuité d’activité.",Tous aléas climatiques,Financières,OPEX majoritaire > main d’œuvre,50 000 €,10,2,Moyen terme,4,Non,Non
Mobiliser les aides et subventions pour financer l’adaptation,"Montage d’un dossier combinant aides de l’agence de l’eau, fonds vert et subvention régionale pour désimperméabiliser une cour. Le reste à charge diminue et le projet peut être lancé plus vite.",Fortes pluies/ Inondation pluie/ Inondation fluviale/ Stress Hydrique/ Chaleur extrême/ Vague de chaleur/ RGA/ Tempêtes/ Modif T° air,Financières,Capital humain,50 000 €,2,2,Court terme,0,Non,Non
Conditionner les investissements à la soutenabilité long terme,"Ajout d’un critère de robustesse climatique dans tous les dossiers d’investissement, avec coût de maintenance et exposition à trente ans. Les projets non soutenables sont écartés avant engagement financier.",Tous aléas climatiques,Financières,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,2,Non,Non
Soutenir les expérimentations et innovations frugales,"Financement de prototypes simples, comme ombrières en matériaux réemployés, capteurs bas coût ou noues expérimentales. Les solutions sont testées à petite échelle avant investissement lourd.",Tous aléas climatiques,Financières,CAPEX majoritaire > court terme,15 000 €,1,"0,5",Court terme,7,Non,Non
Reconduire les petites subventions vertes pour les diagnostics de vulnérabilité,"Attribution d’une aide forfaitaire aux petites structures pour financer un premier diagnostic chaleur, eau ou inondation. Le coût d’entrée baisse et davantage d’acteurs évaluent leurs vulnérabilités.",Tous aléas climatiques,Financières,Section par défaut,30 000 €,1,1,Moyen terme,4,Non,Non
Quantité pertinente et suffisante de ressources financières,"Définition d’un budget minimal sécurisé chaque année pour financer études, travaux urgents et maintenance climatique sans dépendre d’arbitrages ponctuels.",Tous aléas climatiques,Financières,Section par défaut,50 000 €,10,2,Long terme,0,Non,Non
Quantifier les coûts financiers des impacts climatiques,"Estimation des pertes de chiffre d’affaires, réparations, pénalités et surcoûts de personnel liés à une fermeture pour inondation ou chaleur extrême. Les risques climatiques sont traduits en euros pour arbitrer les investissements.",Tous aléas climatiques,Financières,OPEX majoritaire > main d’œuvre,15 000 €,1,"0,5",Moyen terme,0,Non,Non
Former les acteurs à la gouvernance partagée,"Formation des élus, directions et chefs de service aux rôles partagés, arbitrages et responsabilités dans une gouvernance d’adaptation. Les décisions sont mieux coordonnées entre niveaux d’action.",Tous aléas climatiques,Humaines,Capital humain,30 000 €,1,1,Court terme,10,Non,Non
Montée en compétences des équipes en interne sur les enjeux avec recours à une expertise externe si besoin,Parcours de formation interne complété par l’intervention d’un climatologue ou bureau d’études pour aider les équipes à intégrer les projections climatiques.,Tous aléas climatiques,Humaines,Capital humain,30 000 €,10,1,Court terme,10,Non,Non
Les personnes responsables de la mise en place et du suivi du plan d'adaptation ont été identifiées,"Nomination d’un référent adaptation par direction, avec fiche de mission, temps dédié et responsabilité sur le suivi des actions du plan.",Tous aléas climatiques,Humaines,OPEX majoritaire > main d’œuvre,15 000 €,6,"0,5",Court terme,1,Non,Non
Communication aux usagers des bâtiments des risques et des conduites à tenir en cas d'aléa,"Diffusion de fiches réflexes dans halls, laboratoires et salles de cours indiquant où se mettre à l’abri, évacuer ou demander assistance selon l’aléa.",Tous aléas climatiques,Humaines,Capital humain,15 000 €,6,"0,5",Court terme,10,Non,Non
Mobiliser des formations et ressources documentaires spécialisées,"Création d’un parcours de formation avec fiches aléas, webinaires techniques et retours d’expérience sectoriels. Les équipes disposent de ressources fiables pour choisir les bonnes mesures d’adaptation.",Tous aléas climatiques,Humaines,Capital humain,15 000 €,1,"0,5",Court terme,10,Non,Non
Mobiliser les arts et la culture pour sensibiliser,"Création d’une exposition, d’un spectacle ou d’un parcours sonore racontant les risques climatiques locaux et les solutions possibles. La sensibilisation touche des publics qui ne viennent pas aux réunions techniques.",Tous aléas climatiques,Humaines,Capital humain,30 000 €,1,1,Court terme,10,Non,Non
Former aux dispositifs de secours mis en place et aux bons gestes du personnel et des usagers,"Exercice pratique montrant au personnel comment utiliser les kits d’urgence, couper certains équipements et guider les usagers vers les zones sûres.",Tous aléas climatiques,Humaines,Capital humain,25 000 €,10,1,Court terme,10,Non,Non
Garantir la transparence des informations de résilience,"Publication d’un tableau de bord clair présentant risques, budgets, actions lancées et résultats mesurés. Les parties prenantes peuvent suivre la progression réelle de la résilience.",Tous aléas climatiques,Humaines,Capital humain,30 000 €,1,1,Court terme,10,Non,Non
Construire de nouveaux récits inspirants et mobilisateurs,"Production de récits, portraits et visites montrant des lieux déjà transformés par l’adaptation. Les habitants et décideurs se projettent plus facilement dans le changement.",Tous aléas climatiques,Humaines,Capital humain,50 000 €,2,2,Moyen terme,10,Non,Non
Communiquer sur les nouveaux risques climatiques et les gestes préventifs,"Diffusion d’affiches et SMS internes indiquant les nouveaux risques, les horaires adaptés et les consignes en cas d’orage ou de chaleur extrême. Les équipes savent quoi faire sans attendre une réunion de crise.",Chaleur extrême/ Vague de chaleur/ Fortes pluies/ Inondation pluie/ RGA/ Stress Hydrique/ Tempêtes/ Vague de gel/ Feux de forêt,Humaines,Capital humain,50 000 €,2,2,Moyen terme,10,Non,Non
Le pilotage sur l'adaptation se fait à haut niveau avec une direction formée et les questions d'adaptation sont dans l'agenda stratégique,Formation du comité de direction aux risques climatiques majeurs et suivi de l’adaptation dans le tableau de bord stratégique semestriel.,Tous aléas climatiques,Humaines,OPEX majoritaire > main d’œuvre,15 000 €,10,"0,5",Moyen terme,10,Non,Non
Désigner un pilote Adaptation,"Nomination d’un référent Adaptation chargé de suivre le plan d’actions, les indicateurs et les arbitrages internes. Le sujet dispose d’un responsable clairement identifié.",Tous aléas climatiques,Humaines,OPEX majoritaire > main d’œuvre,15 000 €,1,"0,5",Moyen terme,7,Non,Non
Analyser l’exposition climatique de la chaîne d’approvisionnement,"Cartographie des fournisseurs situés en zones exposées aux inondations, sécheresses ou vagues de chaleur. Les achats critiques sont sécurisés par des fournisseurs alternatifs ou des stocks tampons ciblés.",Modif T° air/ Stress Hydrique/ Vague de chaleur/ Fortes pluies/ Inondation fluviale/ Inondation nappe/ Inondation pluie/ RGA/ Chaleur extrême/ Tempêtes/ Vague de gel,Technique,OPEX majoritaire > main d’œuvre,80 000 €,3,2,Long terme,5,Non,Non
Dimensionner les équipements pour les pics climatiques futurs,"Choix de pompes, groupes froids, drains ou protections électriques capables de fonctionner lors d’épisodes de chaleur ou pluie plus intenses. Les installations ne sont pas dimensionnées uniquement sur le climat passé.",Tous aléas climatiques,Technique,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,2,Non,Oui
Mettre en place des outils de prévention et de surveillance,"Installation de capteurs de niveau d’eau, alertes météo paramétrées et ronde préventive avant orage. Les équipes sont prévenues assez tôt pour fermer les accès sensibles ou protéger le matériel.",Inondation nappe/ Inondation pluie/ Fortes pluies/ Inondation fluviale/ RGA/ Stress Hydrique/ Chaleur extrême/ Tempêtes/ Vague de chaleur,Technique,CAPEX majoritaire > court terme,50 000 €,2,2,Court terme,7,Non,Oui
Mise en place de dispositifs de secours et d'urgence en cas d'aléas,"Prépositionnement de kits d’urgence avec pompes mobiles, bâches, groupes électrogènes, radios et procédures d’évacuation accessibles aux équipes d’astreinte.",Tous aléas climatiques,Technique,CAPEX majoritaire > court terme,50 000 €,2,2,Court terme,4,Non,Oui
Évaluer régulièrement la vulnérabilité des équipements,"Contrôle annuel des groupes froids, armoires électriques, pompes de relevage et protections anti-inondation avant les saisons à risque. Les équipements critiques restent adaptés aux conditions climatiques qui évoluent.",Tous aléas climatiques,Technique,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,4,Non,Oui
Récupérer la chaleur et flécher les flux d’air,Captation de la chaleur dégagée par une ligne de production et orientation des flux d’air vers une zone de préchauffage utile. La chaleur n’est plus rejetée dans l’atelier lors des épisodes chauds.,Tous aléas climatiques,Technique,CAPEX majoritaire > long terme,25 000 €,1,1,Long terme,0,Non,Oui
Réaliser un dispositif de drainage,Pose de drains périphériques et exutoires contrôlés autour d’un bâtiment exposé aux eaux stagnantes. L’eau est évacuée avant d’endommager les fondations ou les locaux.,RGA/ Fortes pluies/ Stress Hydrique/ Inondation pluie,Technique,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,0,Non,Oui
Investir dans un serveur de traitement de données climatiques,"Achat d’un serveur dédié pour traiter projections climatiques, données de capteurs et historiques d’incidents par site. Les cartes de risque sont calculées plus rapidement et mises à jour en interne.",Tous aléas climatiques,Technique,Capital humain,250 000 €,10,3,Court terme,7,Non,Non
Créer un outil interne de diagnostic de résilience des bâtiments,"Développement d’un questionnaire interne notant chaque bâtiment sur exposition, sensibilité, protections existantes et continuité d’activité. Les équipes immobilières repèrent rapidement les sites nécessitant un diagnostic approfondi.",Inondation fluviale/ Inondation pluie/ RGA/ Vague de chaleur/ Chaleur extrême/ Vague de gel/ Fortes pluies/ Inondation nappe/ Modif T° air/ Stress Hydrique/ Tempêtes,Technique,Section par défaut,250 000 €,10,3,Long terme,7,Non,Non
Cartographier les îlots de chaleur et les secteurs de ruissellement,"Croisement d’images satellites, relevés terrain et plaintes d’usagers pour repérer les places très chaudes et les rues qui ruissellent. Les premiers travaux ciblent les secteurs les plus inconfortables et exposés.",Chaleur extrême/ Vague de chaleur/ Fortes pluies/ Inondation fluviale/ Inondation pluie/ RGA/ Stress Hydrique/ Modif T° air,Technique,Capital humain,250 000 €,10,3,Long terme,7,Non,Non
Renforcer la biodiversité et les habitats naturels,"Restauration de mares, haies, prairies et continuités écologiques sur des espaces dégradés. Les habitats naturels résistent mieux aux sécheresses et soutiennent la biodiversité locale.",Tous aléas climatiques,Technique,OPEX majoritaire > main d’œuvre,50 000 €,2,2,Long terme,6,Non,Non
Établir un score brut et net de risque climatique,"Calcul d’un risque brut avant mesures puis d’un risque net après protections existantes comme batardeaux, ombrages ou pompes. L’écart montre l’efficacité réelle des dispositifs déjà en place.",Tous aléas climatiques,Technique,Capital humain,50 000 €,2,2,Moyen terme,4,Non,Non
Construire un plan d’action d’adaptation sans regret,"Sélection d’actions utiles dans tous les scénarios, comme ombrage, économies d’eau, continuité d’activité et protection des accès. Le plan reste pertinent même si l’intensité exacte des aléas évolue.",Fortes pluies/ Inondation fluviale/ Inondation pluie/ Modif T° air/ RGA/ Stress Hydrique/ Chaleur extrême/ Tempêtes/ Vague de chaleur/ Vague de gel,Organisationnelles,Capital humain,50 000 €,2,2,Long terme,8,Non,Non
Analyse regulière et mise à jour des dépendances critiques et des risques climatiques associés,"Revue semestrielle des fournisseurs, réseaux, laboratoires et équipements dont l’arrêt bloquerait l’activité, avec aléas associés et solutions de secours.",Tous aléas climatiques,Organisationnelles,OPEX majoritaire > main d’œuvre,30 000 €,1,1,Moyen terme,5,Non,Non
Etablissement de règles de maintenance des équipements critique en prenant en compte les aléas,"Planification d’une maintenance renforcée des groupes froids, pompes, ascenseurs et armoires électriques selon leur exposition à la chaleur ou à l’eau.",Tous aléas climatiques,Organisationnelles,CAPEX majoritaire > long terme,30 000 €,1,1,Moyen terme,1,Non,Oui
Analyser les événements passés pour éviter la répétition des erreurs,"Analyse d’une inondation passée avec chronologie, points de blocage, dégâts, décisions prises et retours des équipes. Les procédures sont corrigées pour éviter les mêmes défaillances lors du prochain événement.",Tous aléas climatiques,Organisationnelles,Capital humain,250 000 €,10,3,Moyen terme,8,Non,Non
Prévenir la mal-adaptation dans le choix des solutions,"Vérification qu’une solution ne déplace pas le problème, par exemple éviter une climatisation rejetant trop de chaleur en rue sans protection solaire. Les choix retenus réduisent le risque sans en créer un nouveau.",Tous aléas climatiques,Organisationnelles,Capital humain,30 000 €,1,1,Moyen terme,8,Non,Non
Intégrer l’adaptation dans la stratégie immobilière de long terme,"Intégration de critères chaleur, eau, inondation et biodiversité dans les rénovations, acquisitions et arbitrages patrimoniaux. Les actifs les plus exposés font l’objet de travaux ou d’une stratégie de sortie.",Tous aléas climatiques,Organisationnelles,Capital humain,30 000 €,1,1,Moyen terme,2,Non,Non
Mettre en place une information climatique en mode push,"Envoi automatique d’alertes ciblées aux gestionnaires de sites lorsqu’un seuil de chaleur, pluie ou vent est dépassé. Les responsables reçoivent l’information utile sans devoir consulter plusieurs sources.",Tous aléas climatiques,Organisationnelles,Capital humain,30 000 €,1,1,Court terme,10,Non,Non
Fournir aux adhérents des référentiels et repères économiques communs,"Mise à disposition d’un guide commun pour les adhérents, avec coûts indicatifs, gains attendus, critères de choix et exemples de devis. Les entreprises peuvent comparer les solutions d’adaptation avec les mêmes repères économiques.",Tous aléas climatiques,Organisationnelles,Capital humain,50 000 €,2,2,Moyen terme,10,Non,Non
Communiquer sur les risques aux occupants,"Diffusion d’affiches, messages d’accueil et consignes simples sur les comportements à adopter en cas de chaleur, inondation ou tempête. Les occupants comprennent les risques et réagissent plus vite.",Vague de chaleur/ Chaleur extrême/ Modif T° air/ RGA/ Stress Hydrique/ Tempêtes/ Inondation fluviale/ Inondation pluie/ Inondation nappe/ Fortes pluies,Organisationnelles,Capital humain,15 000 €,1,"0,5",Moyen terme,10,Non,Non
Mise en place d'indicateurs de suivi / d'outils et de méthodologies,"Création d’indicateurs mensuels sur température intérieure, incidents météo, consommation d’eau et avancement des actions d’adaptation.",Tous aléas climatiques,Organisationnelles,Section par défaut,50 000 €,2,2,Long terme,7,Non,Non
Choisir l’outil d’adaptation selon le niveau de maturité,"Sélection d’un tableur simple, d’un diagnostic expert ou d’un outil cartographique selon les données disponibles et l’avancement de l’entreprise. L’outil choisi correspond réellement à la capacité d’action interne.",Tous aléas climatiques,Organisationnelles,Capital humain,50 000 €,2,2,Moyen terme,7,Non,Non
Développer une structure transverse d’expertise adaptation,"Création d’une cellule adaptation rassemblant exploitation, immobilier, achats et risques pour appuyer les projets et valider les arbitrages sensibles.",Fortes pluies/ Inondation pluie/ RGA/ Chaleur extrême/ Tempêtes,Organisationnelles,OPEX majoritaire > main d’œuvre,15 000 €,1,"0,5",Moyen terme,1,Non,Non
