Titre de l’action d’adaptation,Exemple,Aléa climatique visé,Catégorie ressources,Catégorie entreprise,Prix,Prix crédit,Temps,Score
Diagnostic écologique quatre saisons,"Actualisation annuelle d’une cartographie des sites exposés, en intégrant les dernières projections climatiques et les incidents déjà observés. Les bâtiments, fournisseurs et équipements les plus vulnérables sont priorisés avant les prochaines fortes chaleurs ou inondations.",Fortes pluies; Inondation fluviale; Inondation nappe; Inondation pluie; Modif T° air; RGA; Stress Hydrique; Chaleur extrême; Tempêtes; Vague de chaleur; Vague de gel,Solutions fondées sur la nature,CAPEX majoritaire > court terme,80 000 €,3,Court terme,6
Mobilisation précoce d’un écologue,"Mise à jour d’une procédure interne avec responsables nommés, seuils d’alerte et test sur un site pilote. Les décisions sont plus rapides lorsque les fortes chaleurs menacent la continuité des activités.",Fortes pluies; Inondation pluie; Modif T° air; Stress Hydrique; Vague de chaleur; Tempêtes,Organisationnelles,OPEX majoritaire > main d’œuvre,15 000 €,1,Court terme,0
Mobilisation d’un paysagiste,"Formation courte des équipes exposées, avec consignes opérationnelles et exercice pratique sur site. Les personnes savent adapter leurs horaires, leurs déplacements et leurs gestes lors des fortes chaleurs.",Modif T° air; Vague de chaleur; Chaleur extrême; Stress Hydrique; Tempêtes,Humaines,OPEX majoritaire > main d’œuvre,15 000 €,1,Court terme,0
Création et diversification d’espaces naturels,"Aménagement d’un espace pilote avec végétation locale, sol perméable et suivi de l’eau disponible. Le site gagne en fraîcheur, absorbe mieux les pluies et devient plus résistant face aux fortes chaleurs.",Vague de chaleur; Chaleur extrême; Fortes pluies; Inondation pluie; Stress Hydrique; Biodiversité,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Choix d’essences locales et diversifiées,"Aménagement d’un espace pilote avec végétation locale, sol perméable et suivi de l’eau disponible. Le site gagne en fraîcheur, absorbe mieux les pluies et devient plus résistant face aux fortes chaleurs.",Modif T° air; Vague de chaleur; Chaleur extrême; Stress Hydrique; Vague de gel,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Adapter la végétation et les espaces verts,"Remplacement de l’entretien intensif par une gestion différenciée : fauche tardive, paillage, compost local et réduction des produits chimiques. Les sols retiennent mieux l’eau, la végétation résiste davantage aux sécheresses et la biodiversité augmente.",Vague de chaleur; Chaleur extrême; Modif T° air; Vague de gel; RGA; Stress Hydrique; Tempêtes; Inondation fluviale; Inondation pluie; Inondation nappe; Non listé: feu; Biodiversité,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Création de passages pour la faune,"Aménagement d’un espace pilote avec végétation locale, sol perméable et suivi de l’eau disponible. Le site gagne en fraîcheur, absorbe mieux les pluies et devient plus résistant face aux fortes chaleurs.",Modif T° air; Fortes pluies; Inondation pluie,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Développer des toitures végétalisées,"Aménagement d’un espace pilote avec végétation locale, sol perméable et suivi de l’eau disponible. Le site gagne en fraîcheur, absorbe mieux les pluies et devient plus résistant face aux fortes chaleurs.",Vague de chaleur; Chaleur extrême; Fortes pluies; Inondation pluie,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Organiser une plantation citoyenne d’arbres et d’arbustes locaux,"Plantation d’arbres d’ombrage, création de massifs végétalisés et choix d’essences capables de supporter le climat futur local. Les cheminements et façades exposés restent plus frais, ce qui réduit l’inconfort pendant les fortes chaleurs.",Vague de chaleur; Chaleur extrême; Modif T° air; Tempêtes; Stress Hydrique; Fortes pluies; Inondation pluie,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Orienter le bâtiment et les espaces,"Rénovation d’un bâtiment prioritaire avec isolation renforcée, protections solaires, ventilation nocturne et vérification des seuils d’inondation au rez-de-chaussée. Les occupants restent protégés et les activités essentielles peuvent continuer pendant les épisodes climatiques extrêmes.",Tempêtes; Vague de chaleur; Chaleur extrême; Modif T° air; RGA; Stress Hydrique; Inondation fluviale; Inondation pluie; Inondation nappe; Non listé: feu,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Végétaliser la façade,"Aménagement d’un espace pilote avec végétation locale, sol perméable et suivi de l’eau disponible. Le site gagne en fraîcheur, absorbe mieux les pluies et devient plus résistant face aux fortes chaleurs.",Vague de chaleur; Chaleur extrême; Modif T° air; Stress Hydrique; Inondation fluviale; Inondation pluie; Inondation nappe; Fortes pluies,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Jardins de pluie et parcelles éponges,"Transformation d’un parking bitumé en revêtement perméable, avec noues végétalisées et fosses de plantation. L’eau s’infiltre directement sur site, les réseaux débordent moins lors des pluies intenses et le sol restitue moins de chaleur en été.",Fortes pluies; Inondation pluie; Inondation fluviale; Inondation nappe; Stress Hydrique,Technique,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Noues à biefs indépendants en pente,"Création de noues, bassins d’infiltration et cuves de récupération au pied des bâtiments. Les pluies intenses sont absorbées progressivement, les abords restent praticables et une réserve d’eau peut servir à l’arrosage en période sèche.",Fortes pluies; Inondation pluie; Inondation fluviale,Technique,CAPEX majoritaire > long terme,250 000 €,10,Long terme,0
Conservation des eaux en surface,"Équipement d’un bâtiment prioritaire avec protections physiques, capteurs de suivi et procédure de maintenance renforcée. Les usages essentiels sont mieux protégés lorsque les fortes pluies et inondations perturbent le site.",Fortes pluies; Inondation pluie; Inondation fluviale; Stress Hydrique,Technique,CAPEX majoritaire > long terme,250 000 €,10,Long terme,0
Restaurer le fonctionnement naturel des cours d’eau,"Aménagement d’un espace pilote avec végétation locale, sol perméable et suivi de l’eau disponible. Le site gagne en fraîcheur, absorbe mieux les pluies et devient plus résistant face aux fortes chaleurs.",Fortes pluies; Inondation fluviale; Inondation pluie; Inondation nappe; Stress Hydrique; Tempêtes; Submersion marine; Vague de chaleur; Chaleur extrême,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Réduire les consommations d’eau,"Équipement d’un bâtiment prioritaire avec protections physiques, capteurs de suivi et procédure de maintenance renforcée. Les usages essentiels sont mieux protégés lorsque les sécheresse perturbent le site.",Stress Hydrique; Biodiversité,Technique,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Phasage du chantier selon les rythmes biologiques,"Aménagement d’un espace pilote avec végétation locale, sol perméable et suivi de l’eau disponible. Le site gagne en fraîcheur, absorbe mieux les pluies et devient plus résistant face aux fortes chaleurs.",Modif T° air; Fortes pluies; Vague de chaleur; Tempêtes; Biodiversité,Solutions fondées sur la nature,CAPEX majoritaire > court terme,80 000 €,3,Court terme,6
Désimperméabiliser des berges,"Transformation d’un parking bitumé en revêtement perméable, avec noues végétalisées et fosses de plantation. L’eau s’infiltre directement sur site, les réseaux débordent moins lors des pluies intenses et le sol restitue moins de chaleur en été.",Modif T° air; Vague de chaleur; Fortes pluies; Inondation pluie; Inondation fluviale; Inondation nappe,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Protection de la végétation et des arbres remarquables,"Plantation d’arbres d’ombrage, création de massifs végétalisés et choix d’essences capables de supporter le climat futur local. Les cheminements et façades exposés restent plus frais, ce qui réduit l’inconfort pendant les fortes chaleurs.",Tempêtes; Vague de chaleur; Stress Hydrique; Modif T° air,Technique,OPEX majoritaire > main d’œuvre,250 000 €,10,Moyen terme,0
Protection des sols pendant le chantier,"Équipement d’un bâtiment prioritaire avec protections physiques, capteurs de suivi et procédure de maintenance renforcée. Les usages essentiels sont mieux protégés lorsque les fortes pluies et inondations perturbent le site.",Fortes pluies; Inondation pluie; Inondation fluviale; Stress Hydrique,Technique,OPEX majoritaire > main d’œuvre,50 000 €,2,Long terme,0
Améliorer la ventilation et le rafraîchissement passif,"Installation d’ouvrants sécurisés, de brasseurs d’air et de protections solaires extérieures dans les salles les plus exposées. Les locaux restent utilisables plus longtemps pendant les pics de chaleur, avec moins de dépendance à la climatisation.",Stress Hydrique; Fortes pluies; Modif T° air; Submersion marine; Tempêtes; Inondation fluviale,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Conservation de la terre végétale excédentaire,"Aménagement d’un espace pilote avec végétation locale, sol perméable et suivi de l’eau disponible. Le site gagne en fraîcheur, absorbe mieux les pluies et devient plus résistant face aux fortes pluies et inondations.",Stress Hydrique; Fortes pluies; Inondation pluie,Solutions fondées sur la nature,OPEX majoritaire > main d’œuvre,80 000 €,3,Moyen terme,6
Analyser l’exposition climatique de la chaîne d’approvisionnement,"Actualisation annuelle d’une cartographie des sites exposés, en intégrant les dernières projections climatiques et les incidents déjà observés. Les bâtiments, fournisseurs et équipements les plus vulnérables sont priorisés avant les prochaines fortes chaleurs ou inondations.",Modif T° air; Stress Hydrique; Vague de chaleur; Fortes pluies; Inondation fluviale; Inondation nappe; Inondation pluie; RGA; Chaleur extrême; Tempêtes; Vague de gel,Solutions fondées sur la nature,OPEX majoritaire > main d’œuvre,80 000 €,3,Long terme,6
Développer la gestion naturaliste des espaces végétalisés,"Aménagement d’un espace pilote avec végétation locale, sol perméable et suivi de l’eau disponible. Le site gagne en fraîcheur, absorbe mieux les pluies et devient plus résistant face aux fortes chaleurs.",Vague de chaleur; Chaleur extrême; Modif T° air; Biodiversité; Stress Hydrique,Solutions fondées sur la nature,OPEX majoritaire > main d’œuvre,80 000 €,3,Long terme,6
Libre évolution et taille raisonnée,"Conservation d’une zone refuge non tondue, plantation de haies locales et liaison entre deux espaces verts par un corridor écologique. Les espèces trouvent des abris et peuvent se déplacer malgré la chaleur, la sécheresse ou les travaux sur le site.",Vague de chaleur; Chaleur extrême; Stress Hydrique; Modif T° air,Solutions fondées sur la nature,OPEX majoritaire > main d’œuvre,80 000 €,3,Moyen terme,6
Entretenir les espaces extérieurs de montagne,"Aménagement d’un espace pilote avec végétation locale, sol perméable et suivi de l’eau disponible. Le site gagne en fraîcheur, absorbe mieux les pluies et devient plus résistant face aux fortes chaleurs.",Vague de chaleur; Chaleur extrême; Stress Hydrique; Feux de forêt; Enneigement; Mouvements de terrain,Solutions fondées sur la nature,OPEX majoritaire > main d’œuvre,80 000 €,3,Long terme,6
Réduction des intrants d’entretien,"Mise à jour d’une procédure interne avec responsables nommés, seuils d’alerte et test sur un site pilote. Les décisions sont plus rapides lorsque les fortes chaleurs menacent la continuité des activités.",Stress Hydrique; Modif T° air; Vague de chaleur,Organisationnelles,OPEX majoritaire > main d’œuvre,15 000 €,1,Moyen terme,0
Renaturation par régénération spontanée,"Aménagement d’un espace pilote avec végétation locale, sol perméable et suivi de l’eau disponible. Le site gagne en fraîcheur, absorbe mieux les pluies et devient plus résistant face aux fortes chaleurs.",Vague de chaleur; Chaleur extrême; Stress Hydrique; Fortes pluies; Inondation pluie,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Phytomanagement des sites dégradés,"Aménagement d’un espace pilote avec végétation locale, sol perméable et suivi de l’eau disponible. Le site gagne en fraîcheur, absorbe mieux les pluies et devient plus résistant face aux fortes chaleurs.",Stress Hydrique; Fortes pluies; Inondation pluie; Modif T° air,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Génie pédologique,"Aménagement d’un espace pilote avec végétation locale, sol perméable et suivi de l’eau disponible. Le site gagne en fraîcheur, absorbe mieux les pluies et devient plus résistant face aux fortes pluies et inondations.",Stress Hydrique; Fortes pluies; Inondation pluie; Inondation nappe,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Installer un talus en enrochement atténuateur de houle,"Aménagement d’un espace pilote avec végétation locale, sol perméable et suivi de l’eau disponible. Le site gagne en fraîcheur, absorbe mieux les pluies et devient plus résistant face aux fortes pluies et inondations.",Fortes pluies; Inondation fluviale; Inondation pluie; Tempêtes,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Dépollution par phytotechnologies,"Aménagement d’un espace pilote avec végétation locale, sol perméable et suivi de l’eau disponible. Le site gagne en fraîcheur, absorbe mieux les pluies et devient plus résistant face aux fortes pluies et inondations.",Stress Hydrique; Fortes pluies; Inondation pluie,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Diagnostic local des impacts climatiques,"Actualisation annuelle d’une cartographie des sites exposés, en intégrant les dernières projections climatiques et les incidents déjà observés. Les bâtiments, fournisseurs et équipements les plus vulnérables sont priorisés avant les prochaines fortes chaleurs ou inondations.",Fortes pluies; Inondation fluviale; Inondation nappe; Inondation pluie; Modif T° air; RGA; Stress Hydrique; Chaleur extrême; Tempêtes; Vague de chaleur; Vague de gel,Organisationnelles,OPEX majoritaire > main d’œuvre,30 000 €,1,Moyen terme,7
Évaluation initiale des écosystèmes,"Mise à jour d’une procédure interne avec responsables nommés, seuils d’alerte et test sur un site pilote. Les décisions sont plus rapides lorsque les fortes chaleurs menacent la continuité des activités.",Fortes pluies; Inondation pluie; Modif T° air; Stress Hydrique; Vague de chaleur; Tempêtes; Chaleur extrême; RGA; Inondation fluviale; Inondation nappe; Non listé: feu,Organisationnelles,OPEX majoritaire > main d’œuvre,50 000 €,2,Moyen terme,0
Dimensionner les équipements pour les pics climatiques futurs,"Équipement d’un bâtiment prioritaire avec protections physiques, capteurs de suivi et procédure de maintenance renforcée. Les usages essentiels sont mieux protégés lorsque les fortes chaleurs perturbent le site.",Fortes pluies; Inondation fluviale; Inondation nappe; Inondation pluie; Modif T° air; RGA; Stress Hydrique; Chaleur extrême; Tempêtes; Vague de chaleur; Vague de gel,Technique,CAPEX majoritaire > long terme,250 000 €,10,Long terme,0
Diffuser des documents sectoriels de sensibilisation aux risques climatiques,"Actualisation annuelle d’une cartographie des sites exposés, en intégrant les dernières projections climatiques et les incidents déjà observés. Les bâtiments, fournisseurs et équipements les plus vulnérables sont priorisés avant les prochaines fortes chaleurs ou inondations.",Fortes pluies; Inondation fluviale; Inondation nappe; Inondation pluie; Modif T° air; RGA; Stress Hydrique; Chaleur extrême; Tempêtes; Vague de chaleur; Vague de gel,Humaines,Capital humain,30 000 €,1,Moyen terme,10
Structurer la stratégie d’adaptation climatique,"Inscription d’un point adaptation climatique à chaque comité stratégique, avec arbitrage budgétaire et suivi des obligations réglementaires. Les décisions d’investissement tiennent compte des conditions climatiques futures plutôt que du climat passé.",Fortes pluies; Inondation fluviale; Inondation nappe; Inondation pluie; Modif T° air; RGA; Stress Hydrique; Chaleur extrême; Tempêtes; Vague de chaleur; Vague de gel,Technique,CAPEX majoritaire > court terme,50 000 €,2,Court terme,10
Sensibiliser et former aux risques climatiques,"Actualisation annuelle d’une cartographie des sites exposés, en intégrant les dernières projections climatiques et les incidents déjà observés. Les bâtiments, fournisseurs et équipements les plus vulnérables sont priorisés avant les prochaines fortes chaleurs ou inondations.",Fortes pluies; Inondation fluviale; Inondation nappe; Inondation pluie; Modif T° air; RGA; Stress Hydrique; Chaleur extrême; Tempêtes; Vague de chaleur; Vague de gel; Tous aléas climatiques,Technique,Capital humain,250 000 €,10,Long terme,10
Utiliser un outil d’aide au choix des essences arborées,"Équipement d’un bâtiment prioritaire avec protections physiques, capteurs de suivi et procédure de maintenance renforcée. Les usages essentiels sont mieux protégés lorsque les fortes chaleurs perturbent le site.",Modif T° air; Vague de chaleur; Chaleur extrême; Stress Hydrique; Vague de gel,Technique,OPEX majoritaire > main d’œuvre,50 000 €,2,Long terme,7
Aménager un campus résilient et végétalisé,"Rénovation d’un bâtiment prioritaire avec isolation renforcée, protections solaires, ventilation nocturne et vérification des seuils d’inondation au rez-de-chaussée. Les occupants restent protégés et les activités essentielles peuvent continuer pendant les épisodes climatiques extrêmes.",Vague de chaleur; Chaleur extrême; Stress Hydrique; Modif T° air,Solutions fondées sur la nature,OPEX majoritaire > main d’œuvre,250 000 €,10,Long terme,6
Intégrer une stratégie de renaturation au PLUi,"Inscription d’un point adaptation climatique à chaque comité stratégique, avec arbitrage budgétaire et suivi des obligations réglementaires. Les décisions d’investissement tiennent compte des conditions climatiques futures plutôt que du climat passé.",Vague de chaleur; Chaleur extrême; Fortes pluies; Inondation pluie; Stress Hydrique; Modif T° air,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,Long terme,10
Transformer une cour d’école en îlot de fraîcheur,"Aménagement d’un espace pilote avec végétation locale, sol perméable et suivi de l’eau disponible. Le site gagne en fraîcheur, absorbe mieux les pluies et devient plus résistant face aux fortes chaleurs.",Vague de chaleur; Chaleur extrême; Modif T° air; Fortes pluies; Inondation pluie; Stress Hydrique,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,Long terme,10
Lancer la dynamique d’adaptation et gouverner le diagnostic,"Actualisation annuelle d’une cartographie des sites exposés, en intégrant les dernières projections climatiques et les incidents déjà observés. Les bâtiments, fournisseurs et équipements les plus vulnérables sont priorisés avant les prochaines fortes chaleurs ou inondations.",Tous aléas climatiques,Organisationnelles,Capital humain,30 000 €,1,Moyen terme,7
Définir le périmètre d’analyse du site commercial,"Actualisation annuelle d’une cartographie des sites exposés, en intégrant les dernières projections climatiques et les incidents déjà observés. Les bâtiments, fournisseurs et équipements les plus vulnérables sont priorisés avant les prochaines fortes chaleurs ou inondations.",Tous aléas climatiques,Organisationnelles,Capital humain,30 000 €,1,Moyen terme,0
Analyser l’historique des aléas et sinistres déjà subis,"Actualisation annuelle d’une cartographie des sites exposés, en intégrant les dernières projections climatiques et les incidents déjà observés. Les bâtiments, fournisseurs et équipements les plus vulnérables sont priorisés avant les prochaines fortes chaleurs ou inondations.",Tous aléas climatiques,Organisationnelles,Capital humain,30 000 €,1,Moyen terme,0
Analyser les facteurs de prédisposition du site,"Actualisation annuelle d’une cartographie des sites exposés, en intégrant les dernières projections climatiques et les incidents déjà observés. Les bâtiments, fournisseurs et équipements les plus vulnérables sont priorisés avant les prochaines fortes chaleurs ou inondations.",Inondation nappe; Inondation pluie; RGA; Chaleur extrême; Tempêtes,Technique,CAPEX majoritaire > long terme,250 000 €,10,Long terme,0
Évaluer régulièrement la vulnérabilité des équipements,"Actualisation annuelle d’une cartographie des sites exposés, en intégrant les dernières projections climatiques et les incidents déjà observés. Les bâtiments, fournisseurs et équipements les plus vulnérables sont priorisés avant les prochaines fortes chaleurs ou inondations.",Tous aléas climatiques; Modif T° air; Chaleur extrême; Stress Hydrique; Fortes pluies; Inondation fluviale; Inondation pluie; Inondation nappe; Tempêtes; Vague de gel; Vague de chaleur; RGA,Technique,CAPEX majoritaire > long terme,250 000 €,10,Long terme,7
Quantifier les coûts financiers des impacts climatiques,"Création d’une ligne budgétaire dédiée à l’adaptation, couvrant diagnostics, travaux prioritaires et entretien renforcé. Les dépenses sont planifiées avant les dommages, ce qui évite des réparations urgentes plus coûteuses après un aléa climatique.",Tous aléas climatiques; Fortes pluies; Inondation fluviale; Inondation pluie; Modif T° air; Stress Hydrique; Chaleur extrême; Tempêtes; Vague de chaleur,Financières,OPEX majoritaire > main d’œuvre,15 000 €,1,Moyen terme,0
Renforcer la continuité d’activité en situation de crise,"Scénario de crise testé avant l’été : bascule en télétravail, salles fraîches ouvertes, contact fournisseurs critiques et procédure de fermeture temporaire. Les équipes savent quoi faire lorsque chaleur, inondation ou tempête perturbent le fonctionnement normal.",Tous aléas climatiques; Tempêtes; Vague de chaleur; Fortes pluies; Inondation pluie; Vague de gel; Chaleur extrême; Modif T° air; Inondation fluviale; Inondation nappe; Stress Hydrique; Non listé: feu; Non listé: submersion marine,Organisationnelles,CAPEX majoritaire > long terme,250 000 €,10,Long terme,2
Prévenir la mal-adaptation dans le choix des solutions,"Mise à jour d’une procédure interne avec responsables nommés, seuils d’alerte et test sur un site pilote. Les décisions sont plus rapides lorsque les fortes chaleurs menacent la continuité des activités.",Tous aléas climatiques; Chaleur extrême; Vague de chaleur; Stress Hydrique; Modif T° air,Organisationnelles,Capital humain,30 000 €,1,Moyen terme,0
Choisir l’outil d’adaptation selon le niveau de maturité,"Mise à jour d’une procédure interne avec responsables nommés, seuils d’alerte et test sur un site pilote. Les décisions sont plus rapides lorsque les tous aléas climatiques menacent la continuité des activités.",Tous aléas climatiques,Organisationnelles,Capital humain,50 000 €,2,Moyen terme,7
Réaliser des visites terrain pour fiabiliser les préconisations,"Formation courte des équipes exposées, avec consignes opérationnelles et exercice pratique sur site. Les personnes savent adapter leurs horaires, leurs déplacements et leurs gestes lors des fortes chaleurs.",Tous aléas climatiques; Inondation fluviale; Inondation pluie; Tempêtes; Vague de chaleur,Humaines,OPEX majoritaire > main d’œuvre,30 000 €,1,Court terme,0
Établir un score brut et net de risque climatique,"Équipement d’un bâtiment prioritaire avec protections physiques, capteurs de suivi et procédure de maintenance renforcée. Les usages essentiels sont mieux protégés lorsque les tous aléas climatiques perturbent le site.",Tous aléas climatiques,Technique,Capital humain,50 000 €,2,Moyen terme,0
Chiffrer les CAPEX et OPEX d’adaptation,"Réservation d’un budget annuel pour les diagnostics, travaux prioritaires et réparations préventives. Les investissements sont déclenchés avant les dégâts majeurs liés aux tous aléas climatiques, ce qui réduit les interruptions et les surcoûts.",Tous aléas climatiques,Financières,Capital humain,30 000 €,1,Moyen terme,0
Mettre en place des outils de prévention et de surveillance,"Tableau de bord mensuel avec jours de fermeture liés à la chaleur, dégâts après pluie intense, incidents fournisseurs et coûts de maintenance climatique. Les tendances repérées déclenchent des ajustements rapides avant que les fragilités ne s’aggravent.",Inondation nappe; Inondation pluie; Fortes pluies; Inondation fluviale; RGA; Stress Hydrique; Chaleur extrême; Tempêtes; Vague de chaleur,Technique,CAPEX majoritaire > court terme,50 000 €,2,Court terme,7
Étendre les audits de vulnérabilité à des sites représentatifs,"Actualisation annuelle d’une cartographie des sites exposés, en intégrant les dernières projections climatiques et les incidents déjà observés. Les bâtiments, fournisseurs et équipements les plus vulnérables sont priorisés avant les prochaines fortes chaleurs ou inondations.",Tous aléas climatiques,Organisationnelles,Capital humain,50 000 €,2,Moyen terme,0
Structurer un référentiel interne d’actions d’adaptation,"Formation courte des équipes exposées, avec consignes opérationnelles et exercice pratique sur site. Les personnes savent adapter leurs horaires, leurs déplacements et leurs gestes lors des fortes chaleurs.",Tous aléas climatiques; Stress Hydrique; Vague de chaleur; Chaleur extrême,Humaines,Capital humain,250 000 €,10,Long terme,0
Outiller la prise de décision pour un plan d’investissement global,"Réservation d’un budget annuel pour les diagnostics, travaux prioritaires et réparations préventives. Les investissements sont déclenchés avant les dégâts majeurs liés aux tous aléas climatiques, ce qui réduit les interruptions et les surcoûts.",Tous aléas climatiques,Financières,Capital humain,50 000 €,2,Moyen terme,7
Intégrer l’adaptation dans la stratégie immobilière de long terme,"Rénovation d’un bâtiment prioritaire avec isolation renforcée, protections solaires, ventilation nocturne et vérification des seuils d’inondation au rez-de-chaussée. Les occupants restent protégés et les activités essentielles peuvent continuer pendant les épisodes climatiques extrêmes.",Tous aléas climatiques,Organisationnelles,Capital humain,30 000 €,1,Moyen terme,10
