Titre de l’action d’adaptation,Exemple,Aléa climatique visé,Catégorie ressources,Catégorie entreprise,Prix,Prix crédit,Crédit normalisé,Temps,Score,Véhicules,Machines
Préservation des connectivités écologiques,Déplacement d’une clôture pour laisser un couloir végétalisé entre deux haies et pose de passages bas pour la petite faune. Les continuités écologiques sont maintenues même après la construction du site.,Fortes pluies/ Inondation pluie/ Modif T° air/ Stress Hydrique/ Vague de chaleur/ Tempêtes,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,6,Non,Non
Conservation de la terre végétale excédentaire,"Décapage de la terre végétale avant terrassement, stockage en merlons bas enherbés puis réutilisation dans les futures zones plantées. Le sol fertile n’est pas évacué inutilement et les plantations reprennent mieux.",Stress Hydrique/ Fortes pluies/ Inondation pluie,Solutions fondées sur la nature,OPEX majoritaire > main d’œuvre,80 000 €,3,2,Moyen terme,6,Non,Non
Améliorer la ventilation et le rafraîchissement passif,"Ajout d’ouvrants traversants, de protections solaires extérieures et d’une ventilation nocturne automatisée. La chaleur accumulée s’évacue la nuit et le recours à la climatisation diminue.",Stress Hydrique/ Fortes pluies/ Modif T° air/ Submersion marine/ Tempêtes/ Inondation fluviale,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,6,Non,Non
Renforcer la continuité d’activité en situation de crise,"Préparation de scénarios de repli, fournisseurs alternatifs, procédures de télétravail et priorisation des activités essentielles. L’entreprise peut maintenir un service minimal même si un site est temporairement indisponible.",Tous aléas climatiques,Organisationnelles,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,2,Non,Non
Renforcer la redondance des approvisionnements,"Qualification de fournisseurs alternatifs dans deux régions différentes, avec contrats cadres et volumes de secours. Une rupture liée à une inondation ou à une tempête chez un fournisseur bloque moins la production.",Tempêtes/ Inondation pluie/ Vague de chaleur/ Vague de gel,Organisationnelles,OPEX majoritaire > main d’œuvre,15 000 €,1,"0,5",Moyen terme,5,Non,Non
Encourager l’utilisation de matériaux alternatifs ou recyclés,"Substitution d’une partie des matières premières par des matériaux recyclés ou disponibles localement, validés avec les achats et la qualité. La production dépend moins de ressources fragilisées par les sécheresses ou intempéries.",Stress Hydrique/ Fortes pluies/ Tempêtes/ Chaleur extrême/ Modif T° air,Organisationnelles,OPEX majoritaire > main d’œuvre,15 000 €,1,"0,5",Moyen terme,0,Non,Non
Etablissement de règles de maintenance des équipements critique en prenant en compte les aléas,"Planification d’une maintenance renforcée des groupes froids, pompes, ascenseurs et armoires électriques selon leur exposition à la chaleur ou à l’eau.",Tous aléas climatiques,Organisationnelles,CAPEX majoritaire > long terme,30 000 €,1,1,Moyen terme,1,Non,Oui
Mettre en place une cartographie permanente des risques climatiques,"Mise à jour semestrielle d’une carte des bâtiments, accès, stocks et équipes exposés aux inondations, chaleurs et retraits-gonflements des argiles. Les nouveaux risques sont intégrés dès qu’un site ou une activité évolue.",Vague de chaleur/ Chaleur extrême/ Inondation fluviale/ Inondation pluie/ Fortes pluies/ Stress Hydrique/ Tempêtes/ Modif T° air/ Vague de gel,Organisationnelles,CAPEX majoritaire > court terme,50 000 €,4,2,Court terme,4,Non,Non
Mobiliser la mémoire collective des catastrophes,"Organisation d’ateliers avec habitants et agents ayant vécu une crue ou une tempête, puis intégration des retours dans les plans d’action. Les erreurs passées sont transformées en consignes concrètes.",Fortes pluies/ Inondation fluviale/ Inondation pluie/ Chaleur extrême/ Vague de chaleur/ RGA/ Tempêtes,Organisationnelles,Capital humain,30 000 €,1,1,Moyen terme,0,Non,Non
Élaborer des plans d’urgence pour la santé et la productivité des travailleurs,"Création d’un protocole pour les travailleurs exposés, avec pauses renforcées, zones de repli, seuils d’arrêt et suivi des malaises. La santé et la productivité sont protégées pendant les épisodes extrêmes.",Chaleur extrême/ Vague de chaleur/ Tempêtes/ Fortes pluies/ Inondation pluie/ Vague de gel/ Modif T° air/ RGA/ Stress Hydrique/ Inondation fluviale/ Inondation nappe,Organisationnelles,OPEX majoritaire > main d’œuvre,30 000 €,1,1,Moyen terme,0,Non,Non
Créer des groupes de travail transversaux sur la résilience des infrastructures,"Réunion des services voirie, eau, énergie, numérique et bâtiments pour analyser la dépendance entre réseaux critiques. Les travaux de résilience sont coordonnés au lieu d’être décidés séparément.",Tous aléas climatiques,Organisationnelles,OPEX majoritaire > main d’œuvre,15 000 €,1,"0,5",Moyen terme,3,Non,Non
Évaluation initiale des écosystèmes,"Inventaire initial des habitats, espèces, sols, zones humides et arbres structurants avant tout choix d’aménagement. L’état de référence permet de mesurer ensuite les gains ou pertes écologiques.",Fortes pluies/ Inondation pluie/ Modif T° air/ Stress Hydrique/ Vague de chaleur/ Tempêtes/ Chaleur extrême/ RGA/ Inondation fluviale/ Inondation nappe,Organisationnelles,OPEX majoritaire > main d’œuvre,50 000 €,2,2,Moyen terme,4,Non,Non
Analyser les dépendances logistiques critiques,"Identification des transporteurs, entrepôts, routes d’accès et fournisseurs dont l’arrêt bloquerait l’activité. Des itinéraires alternatifs, stocks de sécurité ou contrats de secours sont préparés.",Fortes pluies/ Inondation pluie/ Tempêtes/ Vague de chaleur/ Vague de gel/ Inondation fluviale,Organisationnelles,Capital humain,30 000 €,1,1,Moyen terme,5,Oui,Non
Construire un plan d’action d’adaptation sans regret,"Sélection d’actions utiles dans tous les scénarios, comme ombrage, économies d’eau, continuité d’activité et protection des accès. Le plan reste pertinent même si l’intensité exacte des aléas évolue.",Fortes pluies/ Inondation fluviale/ Inondation pluie/ Modif T° air/ RGA/ Stress Hydrique/ Chaleur extrême/ Tempêtes/ Vague de chaleur/ Vague de gel,Organisationnelles,Capital humain,50 000 €,2,2,Long terme,8,Non,Non
Analyser l’exposition climatique de la chaîne d’approvisionnement,"Cartographie des fournisseurs situés en zones exposées aux inondations, sécheresses ou vagues de chaleur. Les achats critiques sont sécurisés par des fournisseurs alternatifs ou des stocks tampons ciblés.",Modif T° air/ Stress Hydrique/ Vague de chaleur/ Fortes pluies/ Inondation fluviale/ Inondation nappe/ Inondation pluie/ RGA/ Chaleur extrême/ Tempêtes/ Vague de gel,Organisationnelles,OPEX majoritaire > main d’œuvre,80 000 €,3,2,Long terme,5,Non,Non
Chiffrer les CAPEX et OPEX d’adaptation,"Estimation séparée du coût d’installation d’une noue, de son entretien annuel et du renouvellement des végétaux. Le budget d’adaptation intègre l’investissement initial et les dépenses futures.",Tous aléas climatiques,Financières,Capital humain,30 000 €,1,1,Moyen terme,0,Non,Non
Conditionner les investissements à la soutenabilité long terme,"Ajout d’un critère de robustesse climatique dans tous les dossiers d’investissement, avec coût de maintenance et exposition à trente ans. Les projets non soutenables sont écartés avant engagement financier.",Tous aléas climatiques,Financières,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,2,Non,Non
Prise en comptes dans la gestion financière des surcoûts d'approvisionnement induits par des dommages sur les sites de ses principaux fournisseurs,Provisionnement d’une enveloppe pour absorber les hausses de prix ou délais supplémentaires causés par des dommages climatiques chez les fournisseurs clés.,Tous aléas climatiques,Financières,Section par défaut,50 000 €,2,2,Long terme,5,Non,Non
Mobiliser les aides et subventions pour financer l’adaptation,"Montage d’un dossier combinant aides de l’agence de l’eau, fonds vert et subvention régionale pour désimperméabiliser. Le reste à charge diminue et le projet peut être lancé plus vite.",Fortes pluies/ Inondation pluie/ Inondation fluviale/ Stress Hydrique/ Chaleur extrême/ Vague de chaleur/ RGA/ Tempêtes/ Modif T° air,Financières,Capital humain,50 000 €,2,2,Court terme,0,Non,Non
Soutenir les expérimentations et innovations frugales,"Financement de prototypes simples, comme ombrières en matériaux réemployés, capteurs bas coût ou noues expérimentales. Les solutions sont testées à petite échelle avant investissement lourd.",Tous aléas climatiques,Financières,CAPEX majoritaire > court terme,15 000 €,1,"0,5",Court terme,0,Non,Non
Réviser les contrats d’assurance à l’aune des sinistres climatiques,"Relecture des contrats multirisques avec l’assureur, en ajoutant un inventaire des bâtiments exposés, franchises, exclusions et délais d’indemnisation. L’entreprise sait à l’avance quels dommages climatiques seront couverts après un sinistre.",Tous aléas climatiques,Financières,Capital humain,25 000 €,1,1,Moyen terme,1,Non,Non
Dimensionner les moyens humains et financiers de l’adaptation,"Chiffrage d’un programme d’adaptation par site, avec besoins en chef de projet, prestataires, travaux et maintenance sur trois ans. L’entreprise sait quels moyens mobiliser avant de lancer les actions.",Tous aléas climatiques,Financières,Capital humain,15 000 €,1,"0,5",Moyen terme,2,Non,Non
Soutenir les initiatives citoyennes de résilience,"Création d’un petit fonds local finançant jardins de pluie, ateliers de quartier, ombrières citoyennes et kits d’alerte. Les habitants peuvent tester rapidement des solutions de résilience.",Tous aléas climatiques,Financières,OPEX majoritaire > main d’œuvre,15 000 €,1,"0,5",Moyen terme,3,Non,Non
Évaluation économique des besoins d’adaptation et des coûts de l’inaction,"Chiffrage comparé du coût des travaux d’adaptation et des pertes attendues en cas d’inaction sur bâtiments, équipements et continuité d’activité.",Tous aléas climatiques,Financières,OPEX majoritaire > main d’œuvre,50 000 €,10,2,Moyen terme,4,Non,Non
Outiller la prise de décision pour un plan d’investissement global,"Construction d’une matrice croisant niveau de risque, coût des travaux, urgence et bénéfices pour les usagers. Les investissements sont classés entre actions immédiates, travaux lourds et mesures à programmer.",Tous aléas climatiques,Financières,Capital humain,50 000 €,2,2,Moyen terme,7,Non,Non
Plan de financement dédié à la résilience des infrastructures,"Création d’une ligne budgétaire pluriannuelle dédiée aux travaux de protection, rafraîchissement, secours énergétique et gestion des eaux pluviales.",Tous aléas climatiques,Financières,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,0,Non,Non
Inscrire progressivement les actions d’adaptation dans les budgets,"Création d’une enveloppe annuelle dédiée aux travaux d’adaptation, alimentée progressivement dans le plan pluriannuel d’investissement. Les protections contre la chaleur, l’eau et les tempêtes ne dépendent plus d’arbitrages ponctuels.",Tous aléas climatiques,Financières,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,2,Non,Non
Organiser les réunions publiques et visites de chantier,"Organisation d’une visite du chantier avec les riverains, présentation des restrictions d’eau prévues et recueil des inquiétudes avant le démarrage des travaux d’été.",Tous aléas climatiques,Humaines,Capital humain,15 000 €,1,"0,5",Moyen terme,3,Non,Non
Mobiliser des formations et ressources documentaires spécialisées,"Création d’un parcours de formation avec fiches aléas, webinaires techniques et retours d’expérience sectoriels. Les équipes disposent de ressources fiables pour choisir les bonnes mesures d’adaptation.",Tous aléas climatiques,Humaines,Capital humain,15 000 €,1,"0,5",Court terme,10,Non,Non
Former les entreprises et usagers au bon usage du bâtiment,"Session de prise en main expliquant aux occupants quand ouvrir les ouvrants, fermer les brise-soleil et utiliser la ventilation pour garder le confort sans surconsommer.",Modif T° air/ Chaleur extrême/ Vague de chaleur,Humaines,Capital humain,25 000 €,1,1,Long terme,10,Non,Non
Mobiliser les arts et la culture pour sensibiliser,"Création d’une exposition, d’un spectacle ou d’un parcours sonore racontant les risques climatiques locaux et les solutions possibles. La sensibilisation touche des publics qui ne viennent pas aux réunions techniques.",Tous aléas climatiques,Humaines,Capital humain,30 000 €,1,1,Court terme,10,Non,Non
Organiser une concertation citoyenne dédiée à la résilience,"Organisation d’une concertation avec habitants, commerçants et associations sur les priorités de fraîcheur, eau et continuité de services. Les projets retenus reflètent les besoins vécus localement.",Tous aléas climatiques,Humaines,Capital humain,30 000 €,1,1,Court terme,3,Non,Non
Former le personnel aux premiers secours,"Formation du personnel d’accueil, d’animation et d’entretien aux gestes de premiers secours et à l’alerte des secours. Les premières minutes d’un incident sont mieux prises en charge.",Inondation fluviale/ Fortes pluies/ Tempêtes/ Vents violents/ Ouragans,Humaines,Capital humain,50 000 €,2,2,Court terme,10,Non,Non
Renforcement des solidarités et des réseaux d’entraide,"Création d’un réseau de volontaires capables d’aider les personnes isolées, relayer les alertes et vérifier les bâtiments sensibles pendant un épisode extrême.",Tous aléas climatiques,Humaines,Capital humain,15 000 €,6,"0,5",Moyen terme,3,Non,Non
Sauvegarder l’expérience des agents opérationnels,"Entretiens avec agents de terrain proches du départ pour documenter les points bas inondables, astuces d’intervention et signaux faibles observés.",Fortes pluies/ Inondation pluie/ Tempêtes/ Chaleur extrême,Humaines,Capital humain,50 000 €,2,2,Moyen terme,0,Non,Non
Accompagner les porteurs de projets par des pairs de la filière,"Mise en relation d’un maître d’ouvrage débutant avec des professionnels ayant déjà traité le confort d’été, l’eau pluviale et les sols argileux.",Chaleur extrême/ Fortes pluies/ RGA/ Stress Hydrique,Humaines,OPEX majoritaire > main d’œuvre,15 000 €,1,"0,5",Moyen terme,3,Non,Non
Communiquer sur les nouveaux risques climatiques et les gestes préventifs,"Diffusion d’affiches et SMS internes indiquant les nouveaux risques, les horaires adaptés et les consignes en cas d’orage ou de chaleur extrême. Les équipes savent quoi faire sans attendre une réunion de crise.",Chaleur extrême/ Vague de chaleur/ Fortes pluies/ Inondation pluie/ RGA/ Stress Hydrique/ Tempêtes/ Vague de gel/ Feux de forêt,Humaines,Capital humain,50 000 €,2,2,Moyen terme,10,Non,Non
Renforcer les compétences des professionnels du bâtiment,"Formation des architectes, bureaux d’études et artisans au confort d’été passif, aux sols argileux et à la gestion des pluies à la parcelle.",Chaleur extrême/ Vague de chaleur/ Fortes pluies/ RGA/ Stress Hydrique,Humaines,Capital humain,25 000 €,1,1,Long terme,10,Non,Non
Sensibilisation et formation de collaborateurs continue avec une mise à jour des informations,"Formation annuelle des collaborateurs aux risques chaleur, inondation et tempête, avec mise à jour des consignes après chaque nouveau diagnostic.",Tous aléas climatiques,Humaines,Capital humain,25 000 €,8,1,Long terme,10,Non,Non
