Titre de l’action d’adaptation,Exemple,Aléa climatique visé,Catégorie ressources,Catégorie entreprise,Prix,Prix crédit,Crédit normalisé,Temps,Score,Véhicules,Machines
Accompagner les porteurs de projets par des pairs de la filière,"Mise en relation d’un maître d’ouvrage débutant avec des professionnels ayant déjà traité le confort d’été, l’eau pluviale et les sols argileux.",Chaleur extrême/ Fortes pluies/ RGA/ Stress Hydrique,Humaines,OPEX majoritaire > main d’œuvre,15 000 €,1,"0,5",Moyen terme,3,Non,Non
Communiquer sur les nouveaux risques climatiques et les gestes préventifs,"Diffusion d’affiches et SMS internes indiquant les nouveaux risques, les horaires adaptés et les consignes en cas d’orage ou de chaleur extrême. Les équipes savent quoi faire sans attendre une réunion de crise.",Chaleur extrême/ Vague de chaleur/ Fortes pluies/ Inondation pluie/ RGA/ Stress Hydrique/ Tempêtes/ Vague de gel/ Feux de forêt,Humaines,Capital humain,50 000 €,2,2,Moyen terme,10,Non,Non
Élaborer un cahier des charges de construction résilient,"Ajout d’exigences de surélévation des équipements, de protections solaires et de gestion des eaux pluviales dans le cahier des charges travaux. Les nouveaux bâtiments intègrent la résilience climatique dès la conception.",Tous aléas climatiques,Humaines,Capital humain,250 000 €,10,3,Long terme,0,Non,Non
Mobiliser un réseau de proximité pour les personnes vulnérables,"Organisation d’un réseau de référents de proximité, avec appels ciblés aux personnes fragiles lors des canicules ou inondations. Les situations d’isolement sont repérées plus tôt et les secours peuvent être orientés.",Vague de chaleur/ Chaleur extrême/ Fortes pluies/ Inondation pluie/ Tempêtes,Humaines,OPEX majoritaire > main d’œuvre,25 000 €,1,1,Long terme,3,Non,Non
Sensibiliser et former aux risques climatiques,"Organisation d’ateliers pour expliquer les consignes en cas de canicule, d’inondation ou de coupure électrique. Les équipes savent qui prévenir, quelles zones éviter et quelles opérations mettre en sécurité.",Tous aléas climatiques,Humaines,Capital humain,250 000 €,10,3,Long terme,10,Non,Non
Renforcer les compétences des professionnels du bâtiment,"Formation des architectes, bureaux d’études et artisans au confort d’été passif, aux sols argileux et à la gestion des pluies à la parcelle.",Chaleur extrême/ Vague de chaleur/ Fortes pluies/ RGA/ Stress Hydrique,Humaines,Capital humain,25 000 €,1,1,Long terme,10,Non,Non
Sensibilisation et formation de collaborateurs continue avec une mise à jour des informations,"Formation annuelle des collaborateurs aux risques chaleur, inondation et tempête, avec mise à jour des consignes après chaque nouveau diagnostic.",Tous aléas climatiques,Humaines,Capital humain,25 000 €,8,1,Long terme,10,Non,Non
Mener des actions d’opportunisme lors de travaux ponctuels,"Ajout de noues, ombrage ou revêtements perméables à l’occasion d’une réfection de voirie déjà programmée. Les petits travaux deviennent une opportunité d’adaptation sans lancer un chantier séparé.",Vague de chaleur/ Chaleur extrême/ Fortes pluies/ Tempêtes/ RGA,Organisationnelles,OPEX majoritaire > main d’œuvre,30 000 €,1,1,Court terme,0,Non,Non
Mettre en place une cartographie permanente des risques climatiques,"Mise à jour semestrielle d’une carte des bâtiments, accès, stocks et équipes exposés aux inondations, chaleurs et retraits-gonflements des argiles. Les nouveaux risques sont intégrés dès qu’un site ou une activité évolue.",Vague de chaleur/ Chaleur extrême/ Inondation fluviale/ Inondation pluie/ Fortes pluies/ Stress Hydrique/ Tempêtes/ Modif T° air/ Vague de gel,Organisationnelles,CAPEX majoritaire > court terme,50 000 €,4,2,Court terme,4,Non,Non
Mobiliser la mémoire collective des catastrophes,"Organisation d’ateliers avec habitants et agents ayant vécu une crue ou une tempête, puis intégration des retours dans les plans d’action. Les erreurs passées sont transformées en consignes concrètes.",Fortes pluies/ Inondation fluviale/ Inondation pluie/ Chaleur extrême/ Vague de chaleur/ RGA/ Tempêtes,Organisationnelles,Capital humain,30 000 €,1,1,Moyen terme,0,Non,Non
Élaborer des plans d’urgence pour la santé et la productivité des travailleurs,"Création d’un protocole pour les travailleurs exposés, avec pauses renforcées, zones de repli, seuils d’arrêt et suivi des malaises. La santé et la productivité sont protégées pendant les épisodes extrêmes.",Chaleur extrême/ Vague de chaleur/ Tempêtes/ Fortes pluies/ Inondation pluie/ Vague de gel/ Modif T° air/ RGA/ Stress Hydrique/ Inondation fluviale/ Inondation nappe,Organisationnelles,OPEX majoritaire > main d’œuvre,30 000 €,1,1,Moyen terme,0,Non,Non
Développer une structure transverse d’expertise adaptation,"Création d’une cellule adaptation rassemblant exploitation, immobilier, achats et risques pour appuyer les projets et valider les arbitrages sensibles.",Fortes pluies/ Inondation pluie/ RGA/ Chaleur extrême/ Tempêtes,Organisationnelles,OPEX majoritaire > main d’œuvre,15 000 €,1,"0,5",Moyen terme,1,Non,Non
Créer des groupes de travail transversaux sur la résilience des infrastructures,"Réunion des services voirie, eau, énergie, numérique et bâtiments pour analyser la dépendance entre réseaux critiques. Les travaux de résilience sont coordonnés au lieu d’être décidés séparément.",Tous aléas climatiques,Organisationnelles,OPEX majoritaire > main d’œuvre,15 000 €,1,"0,5",Moyen terme,3,Non,Non
Évaluation initiale des écosystèmes,"Inventaire initial des habitats, espèces, sols, zones humides et arbres structurants avant tout choix d’aménagement. L’état de référence permet de mesurer ensuite les gains ou pertes écologiques.",Fortes pluies/ Inondation pluie/ Modif T° air/ Stress Hydrique/ Vague de chaleur/ Tempêtes/ Chaleur extrême/ RGA/ Inondation fluviale/ Inondation nappe,Organisationnelles,OPEX majoritaire > main d’œuvre,50 000 €,2,2,Moyen terme,4,Non,Non
Analyser les dépendances logistiques critiques,"Identification des transporteurs, entrepôts, routes d’accès et fournisseurs dont l’arrêt bloquerait l’activité. Des itinéraires alternatifs, stocks de sécurité ou contrats de secours sont préparés.",Fortes pluies/ Inondation pluie/ Tempêtes/ Vague de chaleur/ Vague de gel/ Inondation fluviale,Organisationnelles,Capital humain,30 000 €,1,1,Moyen terme,5,Oui,Non
Communiquer sur les risques aux occupants,"Diffusion d’affiches, messages d’accueil et consignes simples sur les comportements à adopter en cas de chaleur, inondation ou tempête. Les occupants comprennent les risques et réagissent plus vite.",Vague de chaleur/ Chaleur extrême/ Modif T° air/ RGA/ Stress Hydrique/ Tempêtes/ Inondation fluviale/ Inondation pluie/ Inondation nappe/ Fortes pluies,Organisationnelles,Capital humain,15 000 €,1,"0,5",Moyen terme,10,Non,Non
Intégrer les risques naturels et climatiques dans l’analyse des réseaux,"Intégration des cartes d’inondation, de retrait-gonflement et de tempête dans l’analyse des réseaux pour prioriser renouvellement et maintenance.",Fortes pluies/ Inondation fluviale/ Inondation pluie/ RGA/ Chaleur extrême/ Tempêtes,Organisationnelles,OPEX majoritaire > main d’œuvre,250 000 €,10,3,Long terme,4,Non,Non
Choisir des solutions de prévention des risques adaptées localement,"Choix de protections proportionnées au contexte local, comme batardeaux en centre ancien, noues en périphérie ou ombrières sur arrêt de bus. Les investissements répondent au risque réel plutôt qu’à une solution standard.",Fortes pluies/ Inondation fluviale/ Inondation pluie/ RGA/ Tempêtes,Organisationnelles,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,4,Non,Non
Construire un plan d’action d’adaptation sans regret,"Sélection d’actions utiles dans tous les scénarios, comme ombrage, économies d’eau, continuité d’activité et protection des accès. Le plan reste pertinent même si l’intensité exacte des aléas évolue.",Fortes pluies/ Inondation fluviale/ Inondation pluie/ Modif T° air/ RGA/ Stress Hydrique/ Chaleur extrême/ Tempêtes/ Vague de chaleur/ Vague de gel,Organisationnelles,Capital humain,50 000 €,2,2,Long terme,8,Non,Non
Phasage du chantier selon les rythmes biologiques,Planification des terrassements hors période de nidification et suspension des interventions près d’une mare pendant la reproduction des amphibiens. Le chantier avance sans détruire les espèces présentes aux périodes sensibles.,Modif T° air/ Fortes pluies/ Vague de chaleur/ Tempêtes,Solutions fondées sur la nature,CAPEX majoritaire > court terme,80 000 €,3,2,Court terme,0,Non,Non
Protéger les habitats naturels pendant les chantiers,"Balisage des zones à éviter, mise en défens des habitats sensibles et briefing des entreprises avant travaux. Les espèces et milieux naturels sont protégés pendant le chantier.",Tous aléas climatiques,Solutions fondées sur la nature,CAPEX majoritaire > court terme,80 000 €,3,2,Court terme,6,Non,Non
Mettre en œuvre des actions sans regret pour la santé et la qualité produit,"Plantation d’arbres d’ombrage près des zones d’attente, choix de revêtements clairs et création de points d’eau pour les usagers. La santé des personnes et la qualité des produits sensibles à la chaleur sont mieux protégées.",Tous aléas climatiques,Solutions fondées sur la nature,CAPEX majoritaire > court terme,250 000 €,10,3,Court terme,8,Non,Non
Orienter le bâtiment et les espaces,Positionnement des façades les plus vitrées au nord et création de circulations extérieures ombragées côté sud-ouest. Le bâtiment reçoit moins de soleil direct aux heures les plus chaudes et reste plus confortable.,Tempêtes/ Vague de chaleur/ Chaleur extrême/ Modif T° air/ RGA/ Stress Hydrique/ Inondation fluviale/ Inondation pluie/ Inondation nappe,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,0,Non,Non
Organiser une plantation citoyenne d’arbres et d’arbustes locaux,"Organisation d’une matinée de plantation avec riverains et salariés pour installer des arbustes locaux, pailler les pieds et expliquer l’entretien. Les participants s’approprient les nouveaux espaces et limitent les dégradations.",Vague de chaleur/ Chaleur extrême/ Modif T° air/ Tempêtes/ Stress Hydrique/ Fortes pluies/ Inondation pluie,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,3,Non,Non
Analyser l’exposition climatique de la chaîne d’approvisionnement,"Cartographie des fournisseurs situés en zones exposées aux inondations, sécheresses ou vagues de chaleur. Les achats critiques sont sécurisés par des fournisseurs alternatifs ou des stocks tampons ciblés.",Modif T° air/ Stress Hydrique/ Vague de chaleur/ Fortes pluies/ Inondation fluviale/ Inondation nappe/ Inondation pluie/ RGA/ Chaleur extrême/ Tempêtes/ Vague de gel,Solutions fondées sur la nature,OPEX majoritaire > main d’œuvre,80 000 €,3,2,Long terme,5,Non,Non
Concevoir les trames vertes et bleues comme infrastructures de rafraîchissement,"Création d’un maillage continu entre une cour plantée, une allée ombragée et un bassin paysager. Les salariés peuvent circuler à l’ombre entre les bâtiments et les eaux de pluie alimentent les plantations en période chaude.",Vague de chaleur/ Chaleur extrême/ Modif T° air/ Fortes pluies/ Inondation pluie/ Tempêtes/ Stress Hydrique/ Inondation fluviale,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,6,Non,Non
Adapter la végétation et les espaces verts,"Remplacement progressif de massifs gourmands en eau par des arbustes résistants à la sécheresse, du paillage et des zones d’ombre. L’entretien diminue tout en améliorant le confort thermique des abords.",Vague de chaleur/ Chaleur extrême/ Modif T° air/ Vague de gel/ RGA/ Stress Hydrique/ Tempêtes/ Inondation fluviale/ Inondation pluie/ Inondation nappe,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,6,Non,Non
"Végétaliser murs, toitures et voiries","Végétalisation d’un mur exposé au soleil, d’une toiture plate et d’un cheminement minéral très chaud. Les surfaces accumulent moins de chaleur et retiennent une partie de l’eau de pluie.",Vague de chaleur/ Chaleur extrême/ Fortes pluies/ Inondation pluie/ Tempêtes,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,6,Non,Non
Préservation des connectivités écologiques,Déplacement d’une clôture pour laisser un couloir végétalisé entre deux haies et pose de passages bas pour la petite faune. Les continuités écologiques sont maintenues même après la construction du site.,Fortes pluies/ Inondation pluie/ Modif T° air/ Stress Hydrique/ Vague de chaleur/ Tempêtes,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,6,Non,Non
Végétalisation du bâtiment,"Installation de plantes grimpantes, bacs en façade et toitures végétalisées sur les bâtiments les plus exposés au soleil et au ruissellement.",Vague de chaleur/ Chaleur extrême/ Fortes pluies/ Inondation pluie/ Stress Hydrique,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,6,Non,Non
Améliorer la ventilation et le rafraîchissement passif,"Ajout d’ouvrants traversants, de protections solaires extérieures et d’une ventilation nocturne automatisée. La chaleur accumulée s’évacue la nuit et le recours à la climatisation diminue.",Stress Hydrique/ Fortes pluies/ Modif T° air/ Submersion marine/ Tempêtes/ Inondation fluviale,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,6,Non,Non
Mobiliser les aides et subventions pour financer l’adaptation,"Montage d’un dossier combinant aides de l’agence de l’eau, fonds vert et subvention régionale pour désimperméabiliser une cour. Le reste à charge diminue et le projet peut être lancé plus vite.",Fortes pluies/ Inondation pluie/ Inondation fluviale/ Stress Hydrique/ Chaleur extrême/ Vague de chaleur/ RGA/ Tempêtes/ Modif T° air,Financières,Capital humain,50 000 €,2,2,Court terme,0,Non,Non
Soutenir les expérimentations et innovations frugales,"Financement de prototypes simples, comme ombrières en matériaux réemployés, capteurs bas coût ou noues expérimentales. Les solutions sont testées à petite échelle avant investissement lourd.",Tous aléas climatiques,Financières,CAPEX majoritaire > court terme,15 000 €,1,"0,5",Court terme,7,Non,Non
Mobiliser les financements et accompagnements disponibles,"Recensement des dispositifs publics, appels à projets et accompagnements techniques disponibles pour les bâtiments et espaces extérieurs. Les porteurs de projet savent vers qui se tourner selon leur besoin.",Tous aléas climatiques,Financières,Capital humain,15 000 €,1,"0,5",Moyen terme,0,Non,Non
Garantir par l’État les prêts verts adaptation,Création d’une garantie publique couvrant une partie du risque des prêts destinés à l’adaptation des bâtiments et outils de production. Les banques financent plus facilement les investissements préventifs.,Tous aléas climatiques,Financières,Section par défaut,25 000 €,1,1,Moyen terme,0,Non,Non
Réviser les contrats d’assurance à l’aune des sinistres climatiques,"Relecture des contrats multirisques avec l’assureur, en ajoutant un inventaire des bâtiments exposés, franchises, exclusions et délais d’indemnisation. L’entreprise sait à l’avance quels dommages climatiques seront couverts après un sinistre.",Tous aléas climatiques,Financières,Capital humain,25 000 €,1,1,Moyen terme,1,Non,Non
Dimensionner les moyens humains et financiers de l’adaptation,"Chiffrage d’un programme d’adaptation par site, avec besoins en chef de projet, prestataires, travaux et maintenance sur trois ans. L’entreprise sait quels moyens mobiliser avant de lancer les actions.",Tous aléas climatiques,Financières,Capital humain,15 000 €,1,"0,5",Moyen terme,2,Non,Non
Soutenir les initiatives citoyennes de résilience,"Création d’un petit fonds local finançant jardins de pluie, ateliers de quartier, ombrières citoyennes et kits d’alerte. Les habitants peuvent tester rapidement des solutions de résilience.",Tous aléas climatiques,Financières,OPEX majoritaire > main d’œuvre,15 000 €,1,"0,5",Moyen terme,3,Non,Non
Reconduire les petites subventions vertes pour les diagnostics de vulnérabilité,"Attribution d’une aide forfaitaire aux petites structures pour financer un premier diagnostic chaleur, eau ou inondation. Le coût d’entrée baisse et davantage d’acteurs évaluent leurs vulnérabilités.",Tous aléas climatiques,Financières,Section par défaut,30 000 €,1,1,Moyen terme,4,Non,Non
Évaluation économique des besoins d’adaptation et des coûts de l’inaction,"Chiffrage comparé du coût des travaux d’adaptation et des pertes attendues en cas d’inaction sur bâtiments, équipements et continuité d’activité.",Tous aléas climatiques,Financières,OPEX majoritaire > main d’œuvre,50 000 €,10,2,Moyen terme,4,Non,Non
Outiller la prise de décision pour un plan d’investissement global,"Construction d’une matrice croisant niveau de risque, coût des travaux, urgence et bénéfices pour les usagers. Les investissements sont classés entre actions immédiates, travaux lourds et mesures à programmer.",Tous aléas climatiques,Financières,Capital humain,50 000 €,2,2,Moyen terme,7,Non,Non
Plan de financement dédié à la résilience des infrastructures,"Création d’une ligne budgétaire pluriannuelle dédiée aux travaux de protection, rafraîchissement, secours énergétique et gestion des eaux pluviales.",Tous aléas climatiques,Financières,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,0,Non,Non
Inscrire progressivement les actions d’adaptation dans les budgets,"Création d’une enveloppe annuelle dédiée aux travaux d’adaptation, alimentée progressivement dans le plan pluriannuel d’investissement. Les protections contre la chaleur, l’eau et les tempêtes ne dépendent plus d’arbitrages ponctuels.",Tous aléas climatiques,Financières,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,2,Non,Non
