Titre de l’action d’adaptation,Exemple,Aléa climatique visé,Catégorie ressources,Catégorie entreprise,Prix,Prix crédit,Crédit normalisé,Temps,Score,Véhicules,Machines
Soutenir les expérimentations et innovations frugales,"Financement de prototypes simples, comme ombrières en matériaux réemployés, capteurs bas coût ou noues expérimentales. Les solutions sont testées à petite échelle avant investissement lourd.",Tous aléas climatiques,Financières,CAPEX majoritaire > court terme,15 000 €,1,"0,5",Court terme,7,Non,Non
Conditionner les investissements à la soutenabilité long terme,"Ajout d’un critère de robustesse climatique dans tous les dossiers d’investissement, avec coût de maintenance et exposition à trente ans. Les projets non soutenables sont écartés avant engagement financier.",Tous aléas climatiques,Financières,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,2,Non,Non
Mobiliser des formations et ressources documentaires spécialisées,"Création d’un parcours de formation avec fiches aléas, webinaires techniques et retours d’expérience sectoriels. Les équipes disposent de ressources fiables pour choisir les bonnes mesures d’adaptation.",Tous aléas climatiques,Humaines,Capital humain,15 000 €,1,"0,5",Court terme,10,Non,Non
Former aux dispositifs de secours mis en place et aux bons gestes du personnel et des usagers,"Exercice pratique montrant au personnel comment utiliser les kits d’urgence, couper certains équipements et guider les usagers vers les zones sûres.",Tous aléas climatiques,Humaines,Capital humain,25 000 €,10,1,Court terme,10,Non,Non
Les personnes responsables de la mise en place et du suivi du plan d'adaptation ont été identifiées,"Nomination d’un référent adaptation par direction, avec fiche de mission, temps dédié et responsabilité sur le suivi des actions du plan.",Tous aléas climatiques,Humaines,OPEX majoritaire > main d’œuvre,15 000 €,6,"0,5",Court terme,1,Non,Non
Organiser des chantiers collectifs d’intérêt général,"Organisation d’un chantier participatif pour planter une haie, désimperméabiliser une cour ou aménager une zone d’ombre. Les habitants contribuent directement à une amélioration visible.",Tous aléas climatiques,Humaines,Capital humain,30 000 €,1,1,Court terme,3,Non,Non
Renforcement des solidarités et des réseaux d’entraide,"Création d’un réseau de volontaires capables d’aider les personnes isolées, relayer les alertes et vérifier les bâtiments sensibles pendant un épisode extrême.",Tous aléas climatiques,Humaines,Capital humain,15 000 €,6,"0,5",Moyen terme,3,Non,Non
Développer les réseaux d’entraide de proximité,"Mise en place d’un réseau de voisins référents pour appeler les personnes isolées, partager de l’eau et signaler les besoins lors d’une canicule. L’entraide complète les dispositifs institutionnels.",Tous aléas climatiques,Humaines,Capital humain,25 000 €,1,1,Long terme,3,Non,Non
Créer un réseau de bénévoles et d’ambassadeurs de la résilience,"Formation d’ambassadeurs capables d’expliquer les consignes canicule, repérer les personnes fragiles et relayer les alertes. La prévention circule mieux dans les quartiers.",Tous aléas climatiques,Humaines,Capital humain,25 000 €,1,1,Long terme,3,Non,Non
Garantir la transparence des informations de résilience,"Publication d’un tableau de bord clair présentant risques, budgets, actions lancées et résultats mesurés. Les parties prenantes peuvent suivre la progression réelle de la résilience.",Tous aléas climatiques,Humaines,Capital humain,30 000 €,1,1,Court terme,10,Non,Non
Mobiliser les arts et la culture pour sensibiliser,"Création d’une exposition, d’un spectacle ou d’un parcours sonore racontant les risques climatiques locaux et les solutions possibles. La sensibilisation touche des publics qui ne viennent pas aux réunions techniques.",Tous aléas climatiques,Humaines,Capital humain,30 000 €,1,1,Court terme,10,Non,Non
Communication aux usagers des bâtiments des risques et des conduites à tenir en cas d'aléa,"Diffusion de fiches réflexes dans halls, laboratoires et salles de cours indiquant où se mettre à l’abri, évacuer ou demander assistance selon l’aléa.",Tous aléas climatiques,Humaines,Capital humain,15 000 €,6,"0,5",Court terme,10,Non,Non
Former les acteurs à la gouvernance partagée,"Formation des élus, directions et chefs de service aux rôles partagés, arbitrages et responsabilités dans une gouvernance d’adaptation. Les décisions sont mieux coordonnées entre niveaux d’action.",Tous aléas climatiques,Humaines,Capital humain,30 000 €,1,1,Court terme,10,Non,Non
Montée en compétences des équipes en interne sur les enjeux avec recours à une expertise externe si besoin,Parcours de formation interne complété par l’intervention d’un climatologue ou bureau d’études pour aider les équipes à intégrer les projections climatiques.,Tous aléas climatiques,Humaines,Capital humain,30 000 €,10,1,Court terme,10,Non,Non
Privilégier les actions multi-bénéfices,"Choix de solutions qui rafraîchissent, infiltrent l’eau, améliorent la biodiversité et créent des usages sociaux en même temps. Chaque euro investi produit plusieurs bénéfices pour le territoire.",Tous aléas climatiques,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,8,Non,Non
Diversification des espèces plantées,"Association de chênes, érables champêtres, fruitiers rustiques, arbustes mellifères et couvre-sols adaptés au sol local. Si une espèce souffre de la sécheresse ou d’un parasite, les autres maintiennent l’ombrage et la biodiversité.",Modif T° air/ Vague de chaleur/ Chaleur extrême/ Stress Hydrique/ Vague de gel/ RGA,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,6,Non,Non
Adapter la végétation et les espaces verts,"Remplacement progressif de massifs gourmands en eau par des arbustes résistants à la sécheresse, du paillage et des zones d’ombre. L’entretien diminue tout en améliorant le confort thermique des abords.",Vague de chaleur/ Chaleur extrême/ Modif T° air/ Vague de gel/ RGA/ Stress Hydrique/ Tempêtes/ Inondation fluviale/ Inondation pluie/ Inondation nappe,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,6,Non,Non
Orienter le bâtiment et les espaces,Positionnement des façades les plus vitrées au nord et création de circulations extérieures ombragées côté sud-ouest. Le bâtiment reçoit moins de soleil direct aux heures les plus chaudes et reste plus confortable.,Tempêtes/ Vague de chaleur/ Chaleur extrême/ Modif T° air/ RGA/ Stress Hydrique/ Inondation fluviale/ Inondation pluie/ Inondation nappe,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,0,Non,Non
Diagnostic écologique quatre saisons,"Réalisation de quatre passages terrain au printemps, en été, en automne et en hiver pour recenser flore, oiseaux, amphibiens et chauves-souris. Le calendrier de travaux est ensuite ajusté pour éviter les périodes de reproduction.",Tous aléas climatiques,Solutions fondées sur la nature,CAPEX majoritaire > court terme,80 000 €,3,2,Court terme,4,Non,Non
Protéger les habitats naturels pendant les chantiers,"Balisage des zones à éviter, mise en défens des habitats sensibles et briefing des entreprises avant travaux. Les espèces et milieux naturels sont protégés pendant le chantier.",Tous aléas climatiques,Solutions fondées sur la nature,CAPEX majoritaire > court terme,80 000 €,3,2,Court terme,6,Non,Non
Créer une zone humide urbaine,"Création d’une mare urbaine alimentée par les eaux pluviales, entourée de plantes hélophytes et connectée à un cheminement pédagogique.",Fortes pluies/ Inondation pluie/ Vague de chaleur/ Stress Hydrique,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,6,Non,Non
Végétaliser les espaces publics,"Transformation d’un parking asphalté en espace planté avec noues, sols perméables et arbres d’ombrage. Le quartier gagne en fraîcheur et absorbe mieux les fortes pluies.",Chaleur extrême/ Vague de chaleur/ Fortes pluies/ Inondation pluie/ Stress Hydrique/ Modif T° air,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,6,Non,Non
Végétalisation du bâtiment,"Installation de plantes grimpantes, bacs en façade et toitures végétalisées sur les bâtiments les plus exposés au soleil et au ruissellement.",Vague de chaleur/ Chaleur extrême/ Fortes pluies/ Inondation pluie/ Stress Hydrique,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,6,Non,Non
Conservation de la terre végétale excédentaire,"Décapage de la terre végétale avant terrassement, stockage en merlons bas enherbés puis réutilisation dans les futures zones plantées. Le sol fertile n’est pas évacué inutilement et les plantations reprennent mieux.",Stress Hydrique/ Fortes pluies/ Inondation pluie,Solutions fondées sur la nature,OPEX majoritaire > main d’œuvre,80 000 €,3,2,Moyen terme,6,Non,Non
Maintenir une prairie naturelle accessible,"Conservation d’une prairie non imperméabilisée servant à la fois d’espace de détente, zone d’infiltration et refuge de biodiversité pendant l’été.",Fortes pluies/ Inondation pluie,Solutions fondées sur la nature,OPEX majoritaire > main d’œuvre,80 000 €,3,2,Moyen terme,6,Non,Non
Concevoir les trames vertes et bleues comme infrastructures de rafraîchissement,"Création d’un maillage continu entre une cour plantée, une allée ombragée et un bassin paysager. Les salariés peuvent circuler à l’ombre entre les bâtiments et les eaux de pluie alimentent les plantations en période chaude.",Vague de chaleur/ Chaleur extrême/ Modif T° air/ Fortes pluies/ Inondation pluie/ Tempêtes/ Stress Hydrique/ Inondation fluviale,Solutions fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,6,Non,Non
Analyser l’exposition climatique de la chaîne d’approvisionnement,"Cartographie des fournisseurs situés en zones exposées aux inondations, sécheresses ou vagues de chaleur. Les achats critiques sont sécurisés par des fournisseurs alternatifs ou des stocks tampons ciblés.",Modif T° air/ Stress Hydrique/ Vague de chaleur/ Fortes pluies/ Inondation fluviale/ Inondation nappe/ Inondation pluie/ RGA/ Chaleur extrême/ Tempêtes/ Vague de gel,Technique,OPEX majoritaire > main d’œuvre,80 000 €,3,2,Long terme,5,Non,Non
Établir un score brut et net de risque climatique,"Calcul d’un risque brut avant mesures puis d’un risque net après protections existantes comme batardeaux, ombrages ou pompes. L’écart montre l’efficacité réelle des dispositifs déjà en place.",Tous aléas climatiques,Technique,Capital humain,50 000 €,2,2,Moyen terme,4,Non,Non
Tester l’analyse de vulnérabilité climatique sur pilotes,"Test de la méthode sur trois sites pilotes exposés à la chaleur, aux pluies intenses et au retrait-gonflement avant généralisation au patrimoine complet.",RGA/ Fortes pluies/ Inondation pluie/ Chaleur extrême/ Tempêtes,Technique,OPEX majoritaire > main d’œuvre,50 000 €,2,2,Moyen terme,4,Non,Non
Investir dans un serveur de traitement de données climatiques,"Achat d’un serveur dédié pour traiter projections climatiques, données de capteurs et historiques d’incidents par site. Les cartes de risque sont calculées plus rapidement et mises à jour en interne.",Tous aléas climatiques,Technique,Capital humain,250 000 €,10,3,Court terme,7,Non,Non
Créer un outil interne de diagnostic de résilience des bâtiments,"Développement d’un questionnaire interne notant chaque bâtiment sur exposition, sensibilité, protections existantes et continuité d’activité. Les équipes immobilières repèrent rapidement les sites nécessitant un diagnostic approfondi.",Inondation fluviale/ Inondation pluie/ RGA/ Vague de chaleur/ Chaleur extrême/ Vague de gel/ Fortes pluies/ Inondation nappe/ Modif T° air/ Stress Hydrique/ Tempêtes,Technique,Section par défaut,250 000 €,10,3,Long terme,7,Non,Non
Cartographier les îlots de chaleur et les secteurs de ruissellement,"Croisement d’images satellites, relevés terrain et plaintes d’usagers pour repérer les places très chaudes et les rues qui ruissellent. Les premiers travaux ciblent les secteurs les plus inconfortables et exposés.",Chaleur extrême/ Vague de chaleur/ Fortes pluies/ Inondation fluviale/ Inondation pluie/ RGA/ Stress Hydrique/ Modif T° air,Technique,Capital humain,250 000 €,10,3,Long terme,7,Non,Non
Surveiller l’état physique des bâtiments et zones de rétention,"Inspection semestrielle des fissures, descentes d’eau, bassins de rétention et joints de façade, avec photos géolocalisées. Les signes de retrait-gonflement des argiles ou de mauvais écoulement sont traités avant sinistre.",RGA/ Fortes pluies/ Inondation pluie/ Inondation nappe/ Modif T° air,Technique,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,7,Non,Non
Intégrer le risque dans le dimensionnement des systèmes,"Dimensionnement d’un réseau d’eaux pluviales, d’une toiture ou d’un accès selon les pluies et chaleurs futures plutôt que les seules données historiques. Le système reste fonctionnel pendant des événements plus intenses.",Fortes pluies/ Inondation fluviale/ Inondation pluie/ RGA/ Chaleur extrême/ Tempêtes/ Vague de gel,Technique,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,4,Non,Non
Analyser systématiquement l’exposition des actifs immobiliers,"Croisement systématique du portefeuille immobilier avec les cartes d’inondation, chaleur, argiles et tempêtes avant achat ou rénovation. Les actifs les plus vulnérables sont traités avant engagement financier majeur.",Inondation fluviale/ Inondation pluie/ Fortes pluies/ Tempêtes/ Vague de chaleur/ Chaleur extrême/ RGA,Technique,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,4,Non,Non
Analyser les facteurs de prédisposition du site,"Repérage des points bas, locaux techniques en sous-sol, surfaces vitrées exposées et accès uniques du site. Ces caractéristiques expliquent pourquoi un même aléa peut provoquer plus de dégâts ici qu’ailleurs.",Inondation nappe/ Inondation pluie/ RGA/ Chaleur extrême/ Tempêtes,Technique,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,4,Non,Non
Entretenir les dispositifs d’évacuation des eaux pluviales,"Curage régulier des avaloirs, nettoyage des grilles, inspection des descentes de toiture et retrait des feuilles avant les périodes d’orage. L’eau s’évacue correctement quand les pluies deviennent intenses.",Fortes pluies/ Inondation pluie/ RGA,Technique,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,6,Non,Non
Limiter les variations du taux d’humidité du sol,"Mise en place d’un suivi de l’humidité des sols avec paillage, arrosage ciblé et limitation du dessèchement près des fondations. Les retraits et gonflements du terrain sont mieux maîtrisés.",RGA/ Stress Hydrique,Technique,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,0,Non,Non
Prévenir la mal-adaptation dans le choix des solutions,"Vérification qu’une solution ne déplace pas le problème, par exemple éviter une climatisation rejetant trop de chaleur en rue sans protection solaire. Les choix retenus réduisent le risque sans en créer un nouveau.",Tous aléas climatiques,Organisationnelles,Capital humain,30 000 €,1,1,Moyen terme,8,Non,Non
Analyse regulière et mise à jour des dépendances critiques et des risques climatiques associés,"Revue semestrielle des fournisseurs, réseaux, laboratoires et équipements dont l’arrêt bloquerait l’activité, avec aléas associés et solutions de secours.",Tous aléas climatiques,Organisationnelles,OPEX majoritaire > main d’œuvre,30 000 €,1,1,Moyen terme,5,Non,Non
Analyser les événements passés pour éviter la répétition des erreurs,"Analyse d’une inondation passée avec chronologie, points de blocage, dégâts, décisions prises et retours des équipes. Les procédures sont corrigées pour éviter les mêmes défaillances lors du prochain événement.",Tous aléas climatiques,Organisationnelles,Capital humain,250 000 €,10,3,Moyen terme,8,Non,Non
Construire un plan d’action d’adaptation sans regret,"Sélection d’actions utiles dans tous les scénarios, comme ombrage, économies d’eau, continuité d’activité et protection des accès. Le plan reste pertinent même si l’intensité exacte des aléas évolue.",Fortes pluies/ Inondation fluviale/ Inondation pluie/ Modif T° air/ RGA/ Stress Hydrique/ Chaleur extrême/ Tempêtes/ Vague de chaleur/ Vague de gel,Organisationnelles,Capital humain,50 000 €,2,2,Long terme,8,Non,Non
Prendre en compte les inégalités dans chaque projet,"Analyse de chaque projet selon l’âge, la santé, les revenus, l’accès aux transports et l’exposition des habitants. Les mesures d’adaptation protègent en priorité les publics les plus vulnérables.",Tous aléas climatiques,Organisationnelles,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,8,Non,Non
Intégrer l’adaptation dans la stratégie immobilière de long terme,"Intégration de critères chaleur, eau, inondation et biodiversité dans les rénovations, acquisitions et arbitrages patrimoniaux. Les actifs les plus exposés font l’objet de travaux ou d’une stratégie de sortie.",Tous aléas climatiques,Organisationnelles,Capital humain,30 000 €,1,1,Moyen terme,2,Non,Non
Développer les circuits courts et activités stratégiques locales,"Soutien à une filière locale de réparation, alimentation ou matériaux biosourcés, avec contrats de proximité et stockage adapté. Le territoire dépend moins de chaînes longues perturbées par les aléas.",Tous aléas climatiques,Organisationnelles,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,2,Non,Non
Renforcer la continuité d’activité en situation de crise,"Préparation de scénarios de repli, fournisseurs alternatifs, procédures de télétravail et priorisation des activités essentielles. L’entreprise peut maintenir un service minimal même si un site est temporairement indisponible.",Tous aléas climatiques,Organisationnelles,CAPEX majoritaire > long terme,250 000 €,10,3,Long terme,2,Non,Non
Créer des communautés de recherche de solutions d’adaptation,"Création d’un groupe de pairs réunissant entreprises, collectivités et chercheurs pour tester des solutions d’ombrage, d’eau ou de continuité d’activité. Les retours d’expérience accélèrent le passage à l’action.",Tous aléas climatiques,Organisationnelles,Capital humain,15 000 €,1,"0,5",Court terme,3,Non,Non
Fluidifier la collaboration entre acteurs de la chaîne d’adaptation,"Signature d’une convention entre collectivités, gestionnaires de réseaux, entreprises et associations pour partager données, alertes et retours d’expérience. Les acteurs de l’adaptation travaillent avec les mêmes informations.",Tous aléas climatiques,Organisationnelles,Capital humain,50 000 €,2,2,Moyen terme,3,Non,Non
Construire un dialogue régulier avec collectivités et services techniques,"Organisation d’une réunion semestrielle avec mairie, intercommunalité, gestionnaire de voirie et service assainissement. Les travaux privés et publics sont coordonnés avant les périodes de pluie ou de chaleur.",Tous aléas climatiques,Organisationnelles,Capital humain,15 000 €,1,"0,5",Moyen terme,3,Non,Non
Mobiliser l’intelligence collective dans le diagnostic,"Ateliers avec maintenance, production, RH, achats et terrain pour compléter le diagnostic par les incidents vécus. Les solutions proposées tiennent compte des contraintes réelles et sont mieux acceptées.",Tous aléas climatiques,Organisationnelles,Capital humain,30 000 €,1,1,Moyen terme,3,Non,Non
